,eta,phi,PT,jmass,ntrk,btag,hadem
99,-0.587,-0.262,172.49,5.18,1.0,0.0,0.0
100,0.234,-0.841,988.21,81.67,1.0,0.0,1.81
101,-0.214,-0.464,695.62,65.7,-1.0,0.0,0.03
102,-0.54,-1.853,1386.98,147.2,-1.0,0.0,1.91
103,0.246,-2.484,890.6,41.25,-1.0,0.0,0.0
104,0.032,-3.06,946.66,96.29,1.0,0.0,0.0
105,0.178,1.839,1264.02,144.61,1.0,0.0,0.0
106,-0.423,-1.301,1742.66,192.21,1.0,0.0,0.36
107,0.573,0.01,413.08,43.87,1.0,0.0,0.0
108,0.129,1.292,475.49,32.18,1.0,0.0,0.22
109,-0.86,1.805,1120.61,36.62,-1.0,0.0,0.19
110,-0.405,2.473,826.87,31.63,1.0,0.0,4.18
111,-0.678,-2.522,44.73,0.15,1.0,0.0,999.9
112,-0.226,1.286,1179.75,100.85,-1.0,0.0,0.29
113,-1.206,0.353,87.75,7.22,-1.0,0.0,0.42
114,-0.883,2.714,127.21,17.03,1.0,0.0,0.08
115,0.979,0.958,272.47,29.75,-1.0,0.0,0.09
116,0.23,-2.366,2596.02,24.25,-1.0,0.0,0.02
117,0.553,-0.386,2795.41,127.43,-1.0,0.0,1.22
118,-0.562,-0.717,541.55,23.24,-1.0,0.0,0.9
119,1.777,-2.123,27.11,3.24,-1.0,0.0,0.19
120,0.134,-0.999,2276.81,116.51,-1.0,0.0,0.02
121,-0.393,-0.991,175.25,11.41,1.0,0.0,999.9
122,0.583,-0.221,894.03,19.22,1.0,0.0,999.9
123,0.732,-2.983,641.76,60.36,1.0,0.0,0.3
124,1.294,-0.779,45.75,0.15,-1.0,0.0,999.9
125,-1.531,-0.756,115.41,10.31,-1.0,0.0,6.63
126,-1.005,2.109,503.21,63.55,-1.0,0.0,0.24
127,1.2,1.82,761.67,70.27,-1.0,0.0,1.18
128,1.083,3.033,1093.44,66.76,-1.0,0.0,0.4
129,-0.492,-0.807,2069.25,6.19,-1.0,0.0,0.0
130,-0.093,2.465,2793.05,123.96,1.0,0.0,0.03
131,-0.336,2.225,71.11,4.99,1.0,0.0,2.07
132,-0.596,-1.457,907.93,59.07,1.0,0.0,0.66
133,-0.037,1.804,170.67,11.1,-1.0,0.0,18.61
134,1.445,-0.001,932.34,189.65,1.0,0.0,0.94
135,0.013,1.127,2525.77,138.16,1.0,0.0,0.0
136,-0.027,-2.849,507.22,9.02,-1.0,0.0,999.9
137,-0.602,-1.505,94.88,0.14,1.0,0.0,999.9
138,0.19,-2.172,2687.72,177.6,-1.0,0.0,0.8
139,-0.305,1.626,317.35,70.12,1.0,0.0,0.37
140,0.147,1.79,4150.26,206.06,1.0,0.0,0.32
141,-1.085,-2.749,55.29,1.97,-1.0,0.0,0.0
142,-0.959,2.45,2356.92,238.1,-1.0,0.0,0.3
143,0.148,-2.679,2824.42,120.82,1.0,0.0,32.94
144,-0.36,-1.358,1497.85,51.05,1.0,0.0,0.72
145,0.268,0.146,2952.98,125.48,-1.0,0.0,1.94
146,0.523,-2.308,1606.94,128.66,1.0,0.0,0.09
147,1.446,-1.586,196.61,13.11,-1.0,0.0,0.07
148,-1.397,-1.497,256.91,19.63,1.0,0.0,0.0
149,-1.095,-1.186,62.99,9.16,1.0,0.0,0.7
150,0.45,-0.194,1087.83,96.06,1.0,0.0,0.03
151,0.204,0.237,35.65,6.34,1.0,0.0,0.0
152,-1.195,-1.198,1616.03,84.18,1.0,0.0,1.19
153,-1.08,1.246,116.07,18.38,-1.0,0.0,0.42
154,0.308,-0.214,471.53,84.45,1.0,0.0,0.64
155,-1.239,1.457,1531.36,18.3,1.0,0.0,6.28
156,0.675,1.098,3336.79,57.31,1.0,0.0,0.0
157,-0.919,2.504,1574.21,128.71,-1.0,0.0,1.49
158,-0.772,2.228,1485.98,170.08,-1.0,0.0,0.37
159,-0.781,1.824,767.77,54.63,-1.0,0.0,0.67
160,0.469,-1.681,136.1,9.39,1.0,0.0,0.0
161,-0.45,-2.084,986.59,81.35,1.0,0.0,0.74
162,0.014,-1.999,196.13,28.46,1.0,0.0,0.64
163,-0.65,2.157,831.42,55.87,-1.0,0.0,0.82
164,0.573,0.747,1622.52,55.14,-1.0,0.0,6.56
165,-0.352,-0.602,2532.09,20.22,1.0,0.0,0.0
166,-0.036,-1.826,32.95,6.01,-1.0,0.0,0.0
167,1.711,0.09,340.28,5.12,1.0,0.0,2.26
168,-0.857,-3.002,360.68,30.15,-1.0,0.0,1.45
169,0.772,0.473,1107.07,40.91,-1.0,0.0,1.52
170,-0.648,-2.199,1245.33,64.01,1.0,0.0,0.0
171,0.476,-1.795,138.57,0.89,-1.0,0.0,0.0
172,-0.322,-1.243,840.8,103.84,1.0,0.0,0.22
173,-0.497,1.07,2088.93,68.31,1.0,0.0,0.03
174,-1.324,1.888,789.0,81.86,-1.0,0.0,0.19
175,1.196,1.795,235.16,12.5,1.0,0.0,0.02
176,1.343,2.244,142.7,14.26,1.0,0.0,0.38
177,-0.474,2.217,924.97,102.67,1.0,0.0,0.47
178,0.923,1.428,36.17,0.15,1.0,0.0,999.9
179,0.325,-0.384,1090.82,86.74,-1.0,0.0,0.71
180,0.189,0.203,1928.27,76.54,1.0,0.0,0.08
181,-0.773,1.879,155.78,30.5,1.0,0.0,3.59
182,2.397,-1.11,370.76,29.19,1.0,0.0,2.18
183,-0.323,-2.428,3728.97,188.93,-1.0,0.0,1.03
184,0.121,-0.316,1031.77,79.18,1.0,0.0,0.82
