,eta,phi,PT,jmass,ntrk,btag,hadem
0,-0.736,1.244,2807.84,50.1,19.0,1.0,0.0
1,0.974,-2.495,2240.3,58.51,29.0,0.0,0.65
2,-0.412,-0.483,1212.75,79.79,28.0,0.0,0.04
3,-0.169,-1.835,623.22,67.1,33.0,0.0,0.35
4,-0.394,-1.214,432.0,32.2,23.0,0.0,0.0
5,-0.416,1.979,273.39,18.09,12.0,0.0,3.43
6,0.567,-0.986,2400.83,55.13,14.0,0.0,0.0
7,-0.053,1.579,2244.87,123.9,44.0,1.0,0.85
8,-0.782,-1.92,1682.26,98.6,12.0,0.0,0.31
9,-0.176,2.688,230.44,33.34,23.0,0.0,0.09
10,0.924,1.273,160.92,19.81,10.0,0.0,0.33
11,-0.227,-0.347,123.94,18.11,18.0,0.0,0.0
12,-2.845,1.373,38.46,4.89,0.0,0.0,4.6
13,-0.326,2.249,24.22,3.35,18.0,0.0,4.45
14,0.27,-2.815,2424.04,0.0,0.0,0.0,999.9
15,0.405,-0.28,1851.25,64.15,14.0,0.0,0.74
16,-0.156,1.64,1337.54,158.88,34.0,1.0,0.09
17,0.491,0.583,2254.43,143.26,28.0,0.0,0.31
18,0.344,-1.858,755.21,96.09,31.0,1.0,0.23
19,1.446,0.157,734.84,51.16,17.0,0.0,3.02
20,-2.014,1.854,174.51,7.72,5.0,0.0,1.47
21,-0.43,-0.287,110.78,16.88,15.0,0.0,1.04
22,-0.084,-2.186,110.46,6.13,13.0,0.0,0.35
23,0.307,0.951,23.69,2.45,22.0,0.0,999.9
24,1.843,2.959,822.39,82.24,18.0,0.0,2.01
25,-0.049,-0.566,750.22,42.93,11.0,0.0,1.92
26,0.578,-1.506,420.16,18.2,7.0,0.0,3.18
27,-2.695,0.784,345.19,21.19,0.0,0.0,3.28
28,-0.547,1.556,240.38,21.2,21.0,0.0,0.15
29,1.749,2.313,239.91,36.54,12.0,0.0,0.05
30,0.474,-2.159,157.95,12.09,9.0,1.0,0.77
31,1.233,-1.782,72.51,9.92,9.0,0.0,9.65
32,-0.685,0.119,33.67,4.39,6.0,0.0,0.0
33,-0.227,2.061,2659.34,80.48,20.0,0.0,2.08
34,0.112,-2.663,199.19,20.77,10.0,0.0,0.0
35,-0.089,2.532,97.47,8.33,22.0,0.0,4.04
36,-0.964,-1.652,55.43,4.12,6.0,0.0,0.0
37,1.254,1.955,51.85,7.88,9.0,0.0,7.47
38,0.024,2.59,3372.11,270.62,22.0,0.0,0.01
39,0.39,-1.271,400.88,19.15,12.0,1.0,1.51
40,0.082,-2.971,231.49,27.52,17.0,0.0,0.29
41,-0.41,2.947,82.5,4.01,6.0,0.0,1.82
42,0.137,1.231,1986.14,224.24,26.0,0.0,1.95
43,1.067,-1.936,1818.34,71.01,5.0,0.0,212.39
44,-1.18,-0.792,736.1,70.89,27.0,0.0,0.25
45,-1.059,2.235,613.23,37.94,18.0,0.0,1.99
46,-0.006,-1.222,166.15,24.51,9.0,0.0,0.0
47,-0.346,1.867,155.86,28.32,22.0,0.0,6.68
48,0.384,-2.399,101.06,20.43,15.0,0.0,0.0
49,1.014,3.017,72.93,9.96,11.0,0.0,1.21
50,0.784,-1.212,56.54,8.64,4.0,0.0,0.23
51,0.713,-2.175,42.37,1.61,13.0,0.0,0.0
52,0.248,-1.691,29.52,3.27,3.0,0.0,4.41
53,0.791,2.86,2498.59,370.63,64.0,0.0,0.32
54,0.399,0.296,1170.83,212.45,41.0,0.0,0.16
55,0.474,-1.284,949.43,92.84,35.0,0.0,0.81
56,-0.888,0.176,868.25,132.27,34.0,1.0,0.9
57,-0.009,-1.776,185.82,31.32,20.0,0.0,0.97
58,-0.595,1.97,150.27,13.42,12.0,1.0,3.61
59,0.628,-0.757,116.46,15.55,20.0,0.0,0.66
60,1.234,0.159,97.63,21.81,25.0,0.0,0.7
61,0.488,2.556,78.89,11.09,54.0,0.0,5.2
62,0.558,-2.334,75.02,9.05,11.0,0.0,0.0
63,-0.556,0.734,57.37,6.12,11.0,0.0,0.95
64,-3.295,-2.183,50.88,9.58,0.0,0.0,1.51
65,-0.44,0.31,43.23,4.79,29.0,1.0,999.9
66,0.498,-1.753,41.91,5.47,29.0,0.0,1.57
67,-0.668,-0.571,39.52,6.4,7.0,0.0,3.53
68,-2.393,-1.251,38.64,7.1,4.0,0.0,3.02
69,-0.1,-0.312,23.73,5.45,11.0,0.0,0.32
70,-1.157,-2.501,1547.86,40.01,16.0,0.0,0.01
71,-0.327,0.054,1211.86,46.42,21.0,0.0,0.29
72,-0.741,-2.857,912.06,36.87,7.0,0.0,0.03
73,1.325,-0.325,802.65,32.08,17.0,0.0,0.17
74,-1.002,2.001,304.28,24.88,14.0,0.0,0.09
75,-1.231,0.714,207.56,28.08,23.0,0.0,2.55
76,0.552,1.182,178.2,23.28,17.0,0.0,0.3
77,0.905,0.884,56.71,6.1,13.0,1.0,5.37
78,2.656,0.605,32.56,6.47,1.0,0.0,15.05
79,0.197,-2.441,1680.22,124.18,31.0,0.0,4.58
80,-1.057,0.298,1478.84,89.91,29.0,0.0,0.0
81,0.686,0.746,735.64,31.55,11.0,0.0,1.02
82,0.836,1.526,571.15,36.21,13.0,1.0,0.95
83,-0.433,-1.572,471.39,89.79,26.0,0.0,1.06
84,1.601,-2.706,390.06,16.99,8.0,0.0,0.48
85,-0.214,-2.623,356.17,21.34,27.0,1.0,0.07
86,-0.739,2.074,218.71,18.46,12.0,0.0,0.04
87,-1.699,0.298,136.2,27.94,18.0,0.0,0.12
88,-1.209,-0.633,71.7,11.1,14.0,0.0,0.0
89,0.249,-1.401,65.05,11.43,8.0,1.0,1.73
90,-0.206,-0.566,2774.07,53.85,2.0,0.0,999.9
91,0.016,2.847,2433.32,124.96,24.0,0.0,0.45
92,0.567,2.003,1012.59,138.15,28.0,0.0,1.69
93,0.843,-0.224,657.23,135.95,35.0,0.0,1.01
94,-0.261,-2.662,143.73,20.76,15.0,1.0,0.66
95,0.569,-2.197,86.39,18.2,18.0,0.0,0.52
96,-1.655,0.84,32.34,6.75,4.0,0.0,0.12
97,0.804,0.338,31.7,7.85,22.0,0.0,999.9
98,-0.842,-2.525,1911.07,206.47,23.0,0.0,1.23
99,-0.163,-0.351,1760.52,137.84,45.0,0.0,4.82
100,-0.142,1.329,1213.45,-0.0,0.0,0.0,999.9
101,1.524,2.136,1096.34,114.18,18.0,0.0,0.15
102,-1.462,-1.737,380.98,64.19,21.0,0.0,0.27
103,-0.254,0.184,291.09,31.42,24.0,0.0,3.04
104,-0.482,-1.488,69.67,4.45,5.0,0.0,5.44
105,-0.709,-2.088,39.14,6.08,23.0,1.0,999.9
106,-1.857,-1.042,30.01,7.97,14.0,0.0,0.33
107,0.161,1.318,696.51,-0.0,0.0,0.0,999.9
108,1.974,-2.483,629.35,37.64,14.0,0.0,1.31
109,-2.146,-0.86,362.6,25.83,16.0,0.0,0.07
110,1.328,-0.46,45.7,8.52,10.0,0.0,2.3
111,1.536,-0.968,42.57,5.6,9.0,0.0,2.86
112,-0.254,-0.107,3699.38,227.35,33.0,0.0,0.3
113,-1.413,-2.767,513.56,42.49,20.0,0.0,0.12
114,-0.113,-0.647,55.47,8.92,15.0,0.0,0.2
115,-1.486,-0.735,44.8,8.66,6.0,0.0,0.95
116,0.04,0.816,3135.32,96.25,33.0,1.0,0.0
117,0.358,-2.473,2347.28,440.7,53.0,0.0,1.47
118,0.363,-1.75,1241.74,158.05,41.0,0.0,0.32
119,-0.149,-2.547,657.55,29.48,29.0,0.0,0.05
120,-1.586,-2.748,528.31,29.66,17.0,0.0,5.83
121,0.812,-1.906,55.96,12.59,26.0,0.0,3.09
122,-1.221,-2.116,37.37,7.5,11.0,0.0,0.32
123,1.095,2.344,1651.12,85.17,20.0,0.0,3.36
124,0.244,-1.829,1543.87,220.16,48.0,0.0,2.12
125,-0.833,-0.332,1118.16,50.41,14.0,0.0,0.45
126,-0.044,0.474,778.28,57.28,18.0,0.0,1.93
127,0.535,-0.692,105.34,21.36,19.0,0.0,7.05
128,-0.338,-2.47,72.62,9.99,11.0,0.0,5.61
129,0.631,0.188,38.93,6.83,11.0,0.0,0.0
130,0.563,-1.191,26.14,5.84,19.0,0.0,0.0
131,0.109,-0.38,24.18,5.07,12.0,0.0,9.89
132,0.261,2.549,1875.64,85.64,31.0,0.0,0.1
133,-0.138,0.545,1515.68,123.91,17.0,0.0,0.08
134,-0.036,-0.257,803.97,43.8,14.0,0.0,0.61
135,0.635,2.219,668.63,30.24,22.0,0.0,0.06
136,-0.458,-1.087,287.82,62.06,20.0,0.0,2.18
137,-0.013,-2.228,179.07,38.14,17.0,0.0,0.48
138,-0.105,-2.962,160.61,10.21,9.0,0.0,1.74
139,-0.314,-3.075,3383.04,332.14,46.0,0.0,0.05
140,0.826,-0.105,2465.95,176.24,26.0,0.0,0.18
141,-0.47,0.775,1115.69,104.75,35.0,0.0,0.1
142,-0.537,-1.292,665.22,121.02,42.0,0.0,0.84
143,1.062,0.685,304.46,26.81,12.0,0.0,0.22
144,-0.717,1.192,189.25,10.5,21.0,0.0,1.16
145,-0.214,-0.961,74.42,7.32,18.0,0.0,0.61
146,-0.988,-1.445,38.16,6.88,30.0,0.0,999.9
147,-0.023,0.689,26.39,2.56,21.0,0.0,999.9
148,-0.683,0.215,23.18,4.59,14.0,0.0,0.0
149,-0.477,2.024,1610.04,294.44,46.0,0.0,1.43
150,-0.564,2.877,1271.48,123.94,28.0,0.0,0.09
151,1.283,-0.614,600.64,43.53,20.0,0.0,0.53
152,0.04,2.022,96.28,12.59,38.0,0.0,4.68
153,-0.134,1.506,28.28,3.61,22.0,0.0,0.0
