,event,eta,phi,PT,jmass,ntrk,btag,hadem
3578,4995,0.508,2.141,108.89,0.11,1.0,7.0,110.2
3579,4996,-0.722,-1.382,224.9,0.11,1.0,3.0,231.03
3580,4999,-0.594,-1.197,37.27,0.11,1.0,7.0,38.12
3581,5003,0.975,-1.7,2353.95,0.11,-1.0,9.0,2354.01
3582,5005,-1.224,1.064,1251.63,0.11,1.0,3.0,1252.0
3583,5012,1.685,-1.393,438.56,0.11,-1.0,3.0,439.0
3584,5019,-0.788,-0.452,1489.66,0.11,-1.0,4.0,1491.01
3585,5033,0.508,0.826,1313.81,0.11,1.0,6.0,1314.0
3586,5044,1.149,1.112,989.27,0.11,1.0,6.0,989.0
3587,5048,-0.981,1.637,455.52,0.11,1.0,5.0,456.0
3588,5048,0.839,-0.698,15.59,0.11,-1.0,3.0,16.0
3589,5049,0.97,2.648,2558.74,0.11,1.0,3.0,2559.0
3590,5050,0.398,-2.78,695.26,0.11,1.0,3.0,841.18
3591,5051,-0.273,-0.016,777.44,0.11,1.0,4.0,777.0
3592,5061,0.192,-1.19,1073.34,0.11,-1.0,9.0,1073.04
3593,5066,-0.268,-2.699,17.05,0.11,1.0,6.0,17.24
3594,5080,0.077,0.242,1068.44,0.11,1.0,5.0,1068.01
3595,5082,1.837,2.756,1154.64,0.11,1.0,3.0,1356.0
3596,5082,1.623,2.681,201.54,0.11,-1.0,3.0,1356.0
3597,5088,-1.239,-2.336,1432.34,0.11,-1.0,6.0,1433.0
3598,5095,1.283,-2.611,714.61,0.11,-1.0,3.0,715.0
3599,5095,-0.686,2.342,80.76,0.11,-1.0,7.0,86.0
3600,5099,2.232,-2.745,434.86,0.11,1.0,5.0,435.0
3601,5101,-0.639,0.762,782.2,0.11,1.0,4.0,782.01
3602,5114,-0.739,3.025,918.67,0.11,-1.0,6.0,919.0
3603,5119,0.661,-0.515,1609.34,0.11,1.0,7.0,1609.0
3604,5123,-1.248,2.142,75.67,0.11,1.0,8.0,76.0
3605,5129,0.514,-2.727,2817.49,0.11,-1.0,9.0,2825.0
3606,5138,0.4,2.293,1196.14,0.11,-1.0,8.0,1208.06
3607,5150,-1.766,-1.5,375.4,0.11,-1.0,9.0,376.01
3608,5199,-0.789,0.739,131.18,0.11,1.0,7.0,133.01
3609,5220,0.441,0.134,350.4,0.11,1.0,2.0,351.02
3610,5224,1.08,2.487,117.84,0.11,1.0,3.0,1189.0
3611,5237,-0.274,-2.431,922.93,0.11,1.0,4.0,923.0
3612,5239,-0.089,-2.86,317.29,0.11,1.0,7.0,317.0
3613,5254,-0.088,-1.872,328.44,0.11,-1.0,4.0,328.0
3614,5256,0.223,-0.493,1599.18,0.11,-1.0,5.0,1604.0
3615,5262,-0.595,1.128,509.61,0.11,-1.0,10.0,567.15
3616,5262,-2.022,-0.044,19.1,0.11,1.0,4.0,20.05
3617,5264,0.014,-3.061,1022.16,0.11,1.0,3.0,1062.14
3618,5270,-0.396,-2.21,80.23,0.11,1.0,3.0,81.11
3619,5277,0.917,-1.465,1384.62,0.11,1.0,7.0,1385.0
3620,5281,-1.356,1.119,468.93,0.11,1.0,8.0,509.22
3621,5286,-1.367,-1.767,1447.04,0.11,1.0,8.0,1447.0
3622,5291,1.206,-1.605,35.28,0.11,1.0,4.0,35.0
3623,5291,0.106,-1.165,10.04,0.11,-1.0,4.0,12.0
3624,5298,-0.239,-1.662,5479.54,0.11,1.0,2.0,5480.0
3625,5306,-0.206,-3.09,83.0,0.11,1.0,8.0,83.0
3626,5311,0.334,-0.92,420.04,0.11,1.0,5.0,420.0
3627,5325,-1.469,-2.405,525.32,0.11,-1.0,2.0,525.0
3628,5326,-0.01,1.761,777.08,0.11,1.0,4.0,861.12
3629,5328,1.018,2.121,2119.67,0.11,-1.0,8.0,2125.0
3630,5334,-0.275,1.977,1859.08,0.11,-1.0,11.0,1859.0
3631,5344,-0.611,0.586,1925.8,0.11,-1.0,3.0,1926.0
3632,5345,0.875,-2.772,1083.84,0.11,1.0,3.0,1085.0
3633,5375,-0.61,-0.614,168.0,0.11,1.0,5.0,171.07
3634,5376,0.16,1.101,698.33,0.11,-1.0,2.0,698.0
3635,5381,-0.525,-1.198,1495.27,0.11,1.0,4.0,1498.0
3636,5393,-0.328,2.691,1505.07,0.11,-1.0,7.0,1509.0
3637,5393,-0.832,0.085,1281.27,0.11,1.0,6.0,1302.07
3638,5408,1.208,-0.824,1129.88,0.11,1.0,7.0,1131.0
3639,5409,0.688,2.594,1254.8,0.11,-1.0,3.0,1324.12
3640,5418,0.926,2.071,1747.87,0.11,-1.0,9.0,1748.0
3641,5420,2.204,2.576,338.78,0.11,1.0,5.0,339.02
3642,5424,-2.082,2.876,364.8,0.11,1.0,4.0,375.07
3643,5440,0.526,-2.137,1658.48,0.11,1.0,3.0,1659.0
3644,5443,0.488,1.537,1394.12,0.11,1.0,8.0,1398.0
3645,5448,-1.194,1.738,228.08,0.11,1.0,12.0,244.08
3646,5454,-1.209,0.958,634.51,0.11,-1.0,2.0,635.0
3647,5457,-0.646,-2.263,634.81,0.11,1.0,4.0,638.01
3648,5469,-2.161,-0.233,189.62,0.11,1.0,4.0,191.0
3649,5474,-0.712,-1.929,1326.68,0.11,1.0,4.0,1327.0
3650,5478,0.299,1.649,1036.8,0.11,1.0,3.0,1037.0
3651,5479,0.965,0.426,1041.21,0.11,1.0,5.0,1041.0
3652,5483,-0.651,-0.566,85.09,0.11,1.0,9.0,93.01
3653,5497,-0.241,0.862,173.32,0.11,1.0,2.0,213.24
3654,5510,0.104,0.081,422.54,0.11,-1.0,4.0,424.06
3655,5544,0.433,-1.425,705.79,0.11,1.0,10.0,706.02
3656,5545,-0.851,-1.725,139.75,0.11,1.0,12.0,141.06
3657,5546,0.617,1.324,148.82,0.11,1.0,8.0,149.02
3658,5548,-0.767,1.332,603.9,0.11,1.0,6.0,604.0
3659,5553,0.327,-1.731,1123.84,0.11,1.0,5.0,1124.0
3660,5573,1.779,-1.115,329.89,0.11,1.0,4.0,332.02
3661,5575,0.123,2.141,1973.03,0.11,1.0,8.0,1973.06
3662,5585,-0.434,-1.953,926.45,0.11,-1.0,9.0,928.0
3663,5586,1.148,1.109,1354.57,0.11,1.0,3.0,1355.0
3664,5586,-0.687,-1.771,955.17,0.11,-1.0,4.0,955.0
3665,5590,-0.046,-2.021,701.71,0.11,1.0,3.0,706.01
3666,5598,-0.517,-0.511,1178.43,0.11,1.0,5.0,1178.0
3667,5619,-0.401,-2.738,227.48,0.11,1.0,4.0,227.11
3668,5620,0.396,-1.495,29.68,0.11,1.0,3.0,30.0
3669,5629,1.143,-0.863,186.86,0.11,-1.0,5.0,187.01
3670,5629,0.444,-0.701,80.06,0.11,1.0,4.0,80.05
3671,5636,1.35,2.661,531.89,0.11,1.0,3.0,532.0
3672,5641,1.224,2.222,353.92,0.11,1.0,4.0,362.01
3673,5659,0.166,-2.918,1065.6,0.11,-1.0,5.0,1144.11
3674,5659,-0.659,0.795,722.98,0.11,1.0,4.0,723.0
3675,5661,1.248,2.935,332.88,0.11,1.0,8.0,333.01
3676,5685,-2.127,-1.561,139.91,0.11,-1.0,4.0,142.0
3677,5688,0.607,0.942,1749.22,0.11,1.0,5.0,1749.0
3678,5698,-0.094,-1.546,2289.7,0.11,1.0,5.0,4219.47
3679,5704,-2.059,-2.575,61.34,0.11,-1.0,9.0,61.0
3680,5709,0.614,2.084,261.1,0.11,-1.0,8.0,284.09
3681,5720,0.111,0.643,248.43,0.11,1.0,3.0,252.02
3682,5726,-0.231,-2.997,1588.47,0.11,1.0,3.0,2498.02
3683,5726,-0.301,-2.951,889.9,0.11,-1.0,3.0,2493.01
3684,5728,-0.669,-2.052,105.54,0.11,-1.0,7.0,106.03
3685,5736,-0.669,-2.605,866.72,0.11,1.0,4.0,867.0
3686,5743,-0.638,1.053,776.99,0.11,1.0,3.0,777.01
3687,5747,-1.598,-0.259,56.0,0.11,1.0,11.0,57.02
3688,5750,-2.191,-1.435,60.86,0.11,1.0,4.0,61.0
3689,5779,-0.647,2.417,1087.62,0.11,-1.0,4.0,1088.0
3690,5787,-0.259,-1.981,147.39,0.11,-1.0,7.0,151.3
3691,5788,-2.306,1.289,185.87,0.11,1.0,8.0,186.0
3692,5792,1.147,1.891,192.62,0.11,1.0,6.0,195.02
3693,5807,1.201,-2.322,1193.07,0.11,1.0,2.0,1193.0
3694,5809,0.597,-0.765,1077.7,0.11,-1.0,9.0,1114.14
3695,5813,0.278,0.879,4815.67,0.11,-1.0,6.0,4816.0
3696,5820,-1.728,0.733,749.47,0.11,-1.0,4.0,751.0
3697,5821,2.355,0.763,69.54,0.11,1.0,6.0,70.03
3698,5840,-1.268,1.471,1404.34,0.11,-1.0,4.0,1404.0
3699,5842,0.082,1.593,918.76,0.11,-1.0,5.0,919.0
3700,5845,-0.049,-0.669,2266.71,0.11,1.0,6.0,2277.01
3701,5846,-1.146,2.088,813.65,0.11,1.0,9.0,814.0
3702,5846,0.05,-0.294,84.02,0.11,-1.0,7.0,91.17
3703,5860,-1.507,-2.299,556.45,0.11,-1.0,3.0,556.0
3704,5862,-0.618,-1.624,1379.93,0.11,1.0,10.0,1382.0
3705,5862,0.077,0.128,198.83,0.11,1.0,7.0,199.06
3706,5866,-1.158,-1.208,897.35,0.11,1.0,10.0,897.0
3707,5867,0.256,-2.573,2106.79,0.11,1.0,8.0,2107.0
3708,5876,1.951,2.14,205.25,0.11,1.0,7.0,206.0
3709,5882,-0.506,-1.872,1470.03,0.11,1.0,5.0,1470.0
3710,5887,0.047,-0.259,304.94,0.11,-1.0,8.0,395.26
3711,5893,-0.538,0.648,888.53,0.11,1.0,3.0,889.0
