,event,eta,phi,PT,jmass,ntrk,btag,hadem
0,0,0.134,-0.476,534.05,14.87,1.0,0.0,0.0
1,11,-0.102,-1.645,624.46,40.65,1.0,0.0,0.49
2,18,0.222,-2.042,142.1,12.39,-1.0,0.0,0.57
3,22,0.894,-1.567,600.88,58.12,1.0,0.0,0.18
4,26,-0.735,1.842,1418.89,216.89,-1.0,0.0,0.68
5,40,0.221,-1.158,24.68,5.88,-1.0,0.0,0.28
6,41,-0.472,0.419,225.77,18.13,1.0,0.0,0.0
7,45,-0.31,2.338,1236.78,193.35,-1.0,0.0,0.36
8,50,-0.115,2.472,26.05,3.08,1.0,0.0,0.0
9,57,0.139,-2.874,52.64,6.49,1.0,0.0,999.9
10,64,-0.479,-2.299,1694.82,241.29,1.0,0.0,0.24
11,66,1.477,-0.181,677.0,21.13,1.0,0.0,0.19
12,68,-1.258,-2.798,122.14,12.28,1.0,0.0,0.0
13,69,0.271,0.704,25.13,4.36,1.0,0.0,14.47
14,73,0.401,-1.639,2865.8,181.03,1.0,0.0,1.0
15,73,-0.084,-1.541,961.91,25.33,1.0,0.0,0.0
16,74,-0.687,0.858,349.66,35.97,1.0,0.0,0.0
17,79,1.661,1.488,54.05,7.79,-1.0,0.0,1.04
18,80,-0.45,3.02,1668.52,255.04,-1.0,0.0,1.24
19,100,-0.962,0.898,767.25,128.93,1.0,0.0,0.26
20,100,-1.232,1.26,42.55,5.6,1.0,0.0,0.72
21,110,-0.085,0.669,1386.04,245.3,1.0,0.0,13.88
22,112,0.716,2.913,395.75,12.39,1.0,0.0,999.9
23,117,-0.029,1.973,1885.04,14.67,1.0,0.0,999.9
24,121,-0.302,1.525,2426.47,366.51,-1.0,0.0,1.46
25,125,1.049,2.078,289.05,30.74,1.0,0.0,0.17
26,130,-0.823,-3.125,31.57,0.68,1.0,0.0,5.35
27,142,-1.485,2.106,465.54,17.0,1.0,0.0,0.01
28,143,-0.398,-1.202,1641.29,204.9,-1.0,0.0,3.22
29,151,-0.797,-1.496,191.49,3.84,1.0,0.0,999.9
30,154,0.404,1.559,1723.3,70.27,1.0,0.0,0.02
31,169,-0.483,-1.081,348.04,26.01,-1.0,0.0,42.46
32,174,0.535,-1.603,2431.31,119.21,1.0,0.0,0.15
33,179,0.882,0.925,1109.49,75.93,1.0,0.0,0.01
34,180,-1.315,0.208,874.26,30.03,-1.0,0.0,0.0
35,184,-0.204,-2.475,2372.58,312.12,1.0,0.0,0.48
36,190,-0.761,2.304,1162.46,0.14,1.0,0.0,999.9
37,190,0.547,-0.998,600.0,54.43,1.0,0.0,4.98
38,193,0.057,0.094,49.95,0.0,1.0,0.0,999.9
39,194,0.369,2.567,639.17,88.97,1.0,0.0,0.51
40,195,-1.115,1.462,397.62,13.86,1.0,0.0,0.03
41,197,0.944,-1.51,1002.08,2.91,1.0,0.0,0.08
42,200,0.531,-2.189,46.0,8.04,-1.0,0.0,0.26
43,203,-0.291,-2.022,190.73,7.29,1.0,0.0,0.0
44,203,-0.58,-0.512,53.51,7.61,1.0,0.0,6.91
45,206,-0.38,0.97,1225.58,63.23,-1.0,0.0,0.46
46,206,-0.452,2.844,1108.61,68.58,-1.0,0.0,13.43
47,209,-0.042,2.57,2474.28,81.3,-1.0,0.0,0.0
48,211,-0.124,1.858,286.2,2.7,-1.0,0.0,0.0
49,222,0.943,0.895,589.0,2.92,-1.0,0.0,0.0
50,223,0.081,-1.637,3105.85,9.19,1.0,0.0,0.0
51,223,-1.183,-0.855,129.35,1.12,-1.0,0.0,999.9
52,228,-1.506,1.944,647.03,43.25,-1.0,0.0,1.93
53,231,0.814,1.619,718.33,107.15,1.0,0.0,0.84
54,231,-0.024,-0.424,651.82,18.98,1.0,0.0,0.47
55,238,0.52,-1.597,140.69,2.67,1.0,0.0,999.9
56,249,-1.725,1.664,683.75,149.6,1.0,0.0,2.31
57,256,0.223,0.198,2758.87,252.74,-1.0,0.0,0.42
58,276,0.352,-1.707,2645.94,129.46,1.0,0.0,0.44
59,280,-0.423,-2.469,3357.21,63.45,-1.0,0.0,0.53
60,284,-0.563,0.958,1146.11,60.32,-1.0,0.0,0.15
61,295,0.3,3.126,54.42,13.62,-1.0,0.0,0.82
62,296,1.781,0.383,90.76,20.55,1.0,0.0,0.68
63,300,-0.499,-1.95,3572.87,129.69,1.0,0.0,0.68
64,302,0.012,3.123,134.63,7.36,1.0,0.0,8.23
65,304,1.579,0.171,31.04,6.22,-1.0,0.0,3.54
66,308,-0.255,-0.157,2534.38,311.39,1.0,0.0,1.48
67,318,0.147,2.153,4425.56,16.48,-1.0,0.0,999.9
