,eta,phi,PT,jmass,ntrk,btag,hadem,event#
94,-0.068,-0.018,1946.09,50.35,17.0,1.0,1.66,14
95,-0.483,-0.384,696.16,26.01,25.0,0.0,0.63,14
96,-0.987,-1.415,431.17,15.17,8.0,0.0,0.0,14
97,0.773,-0.199,42.61,3.69,4.0,0.0,1.46,14
98,0.572,-0.568,2173.53,71.67,15.0,0.0,4.84,15
99,0.432,1.39,2003.91,71.0,20.0,1.0,0.0,15
100,-0.212,-2.102,1469.69,182.56,38.0,0.0,0.59,15
101,-0.899,-3.01,1323.19,45.85,11.0,0.0,2.15,15
102,1.235,-0.094,120.13,0.0,1.0,0.0,999.9,15
103,0.638,1.171,1873.96,262.56,53.0,0.0,0.87,16
104,0.419,-2.976,1588.65,179.2,40.0,0.0,0.06,16
105,-0.576,0.108,1246.34,24.85,9.0,0.0,0.0,16
106,-0.276,-1.859,1071.33,114.17,22.0,0.0,0.63,16
107,-1.178,-1.471,959.77,36.59,12.0,0.0,0.0,16
108,0.862,-2.765,633.17,30.32,26.0,0.0,0.96,16
109,-1.771,0.465,181.33,22.11,13.0,1.0,0.2,16
110,0.271,1.988,36.98,6.27,7.0,0.0,0.0,16
111,0.073,3.032,31.08,6.84,33.0,0.0,0.9,16
112,-2.126,2.674,26.08,4.69,6.0,0.0,12.18,16
113,-0.121,0.455,4036.12,556.48,60.0,0.0,0.59,17
114,0.275,-2.83,2715.41,96.1,27.0,0.0,0.58,17
115,0.099,-2.31,2211.71,66.59,30.0,0.0,0.0,17
116,-0.441,0.919,1218.83,90.59,62.0,0.0,1.07,17
117,-0.365,-2.287,240.47,17.29,32.0,0.0,2.32,17
118,0.684,3.11,172.23,22.89,16.0,0.0,0.71,17
119,-0.705,-1.567,116.31,10.61,10.0,0.0,1.69,17
120,1.129,-1.53,40.38,4.95,9.0,0.0,0.0,17
121,1.573,-1.359,31.22,0.99,5.0,0.0,0.0,17
122,2.052,0.563,29.75,4.46,6.0,0.0,999.9,17
123,-0.147,1.075,3528.06,0.0,0.0,0.0,999.9,18
124,-0.407,-2.33,1461.04,101.01,22.0,0.0,0.24,18
125,0.243,-2.529,1209.46,138.22,47.0,0.0,2.17,18
126,0.149,-0.999,1140.53,48.05,18.0,0.0,0.58,18
127,0.95,-2.612,89.64,17.44,17.0,0.0,999.9,18
128,-0.029,2.28,3274.17,136.04,28.0,0.0,0.0,19
129,-0.347,-1.432,3115.54,93.04,28.0,0.0,0.01,19
130,0.065,0.298,2611.87,103.85,26.0,0.0,0.38,19
131,-0.697,2.824,891.08,48.01,15.0,0.0,0.62,19
132,2.015,-1.149,262.67,23.92,11.0,0.0,0.09,19
133,0.477,-3.072,2924.33,26.53,1.0,0.0,0.64,20
134,-0.423,0.5,2036.5,350.23,64.0,1.0,0.98,20
135,0.8,-0.827,1133.47,25.72,7.0,0.0,0.91,20
136,-0.686,0.178,489.26,26.67,52.0,0.0,0.08,20
137,-0.042,0.29,29.46,3.45,42.0,1.0,999.9,20
138,0.476,2.281,1559.88,55.89,10.0,0.0,0.03,21
139,-0.987,-1.994,1199.66,17.69,9.0,0.0,0.55,21
140,0.921,-2.2,530.01,40.73,12.0,0.0,1.11,21
141,-0.231,2.685,400.2,33.01,25.0,0.0,0.0,21
142,-1.787,-0.848,301.44,55.79,25.0,0.0,1.19,21
143,-0.422,-3.126,271.08,19.11,22.0,0.0,0.0,21
144,-1.366,1.09,222.58,11.73,11.0,0.0,3.81,21
145,0.708,-0.262,155.02,15.88,11.0,0.0,0.24,21
146,-1.513,-1.473,46.16,8.29,14.0,0.0,1.78,21
147,-0.91,1.093,29.91,2.91,9.0,0.0,0.0,21
148,-0.02,-2.385,2570.06,281.89,59.0,0.0,0.23,22
149,0.481,0.484,2065.81,46.12,30.0,0.0,0.04,22
150,0.068,-1.92,1275.28,55.01,53.0,0.0,0.13,22
151,-0.926,1.197,1047.83,95.44,19.0,0.0,0.36,22
152,0.112,0.834,958.32,88.85,40.0,0.0,0.37,22
153,-0.226,1.426,643.49,103.3,28.0,1.0,0.36,22
154,-0.365,0.866,80.06,6.02,31.0,0.0,1.36,22
155,2.424,2.776,34.7,0.0,0.0,0.0,0.0,22
156,-0.481,-2.296,33.71,5.36,29.0,0.0,0.56,22
157,-0.266,1.611,2782.93,37.63,12.0,0.0,0.0,23
158,-0.334,0.493,2193.01,91.11,21.0,0.0,0.52,23
159,-0.149,-1.888,1495.57,130.72,37.0,0.0,0.36,23
160,0.903,-2.217,1131.01,65.77,20.0,0.0,1.04,23
161,0.089,-2.491,892.5,74.26,25.0,1.0,0.17,23
162,0.45,-1.537,826.98,88.03,34.0,1.0,1.4,23
163,-0.356,-2.261,88.96,5.71,32.0,1.0,0.26,23
164,-0.069,-2.669,2795.89,98.67,22.0,0.0,0.14,24
165,-0.74,1.511,2437.9,85.68,16.0,0.0,2.52,24
166,0.049,-0.786,920.77,110.81,32.0,0.0,0.67,24
167,0.782,-2.001,289.89,29.8,17.0,0.0,0.1,24
168,1.219,1.8,266.61,47.5,17.0,0.0,2.68,24
169,1.21,-0.682,257.91,23.89,16.0,0.0,1.7,24
170,-0.34,-1.287,215.63,36.09,40.0,0.0,1.67,24
171,-0.277,-0.375,180.46,15.1,18.0,0.0,0.16,24
172,-0.757,-1.216,179.75,23.01,22.0,0.0,2.45,24
173,1.027,2.189,42.13,9.23,17.0,0.0,999.9,24
174,0.49,-1.04,40.81,6.82,15.0,0.0,0.0,24
175,0.19,-1.705,31.99,6.82,17.0,0.0,0.0,24
176,-0.221,1.304,26.05,2.97,8.0,0.0,0.3,24
177,-0.223,-2.27,4620.17,0.0,2.0,0.0,999.9,25
178,1.235,-2.818,1419.6,39.72,18.0,0.0,0.04,25
179,-0.78,0.176,1088.69,29.3,12.0,0.0,0.0,25
180,-1.053,0.713,868.68,0.0,2.0,0.0,999.9,25
181,0.547,-2.855,411.84,29.66,16.0,0.0,0.03,25
182,0.794,-2.081,198.68,28.35,24.0,0.0,2.37,25
183,0.264,-2.121,103.29,10.82,18.0,0.0,0.7,25
184,0.113,1.364,953.34,64.57,13.0,0.0,3.66,26
185,-1.784,-0.591,757.26,52.53,10.0,0.0,0.04,26
186,-1.265,0.77,490.05,16.7,11.0,0.0,6.08,26
187,0.287,1.884,4756.55,78.23,20.0,0.0,0.0,27
188,-0.668,-1.025,2451.32,168.26,43.0,0.0,2.09,27
189,0.445,-1.931,1719.96,186.3,28.0,0.0,0.9,27
190,0.814,-1.299,103.6,12.58,14.0,0.0,0.37,27
191,-1.001,0.212,81.02,14.28,16.0,0.0,0.46,27
192,0.64,1.42,38.68,5.42,6.0,1.0,0.0,27
193,-0.246,-0.875,26.66,3.84,43.0,0.0,0.0,27
194,1.176,-2.083,1973.97,78.48,19.0,0.0,0.04,28
195,-0.389,2.183,1306.56,46.21,20.0,0.0,0.06,28
196,0.775,1.221,967.96,138.56,17.0,1.0,0.12,28
197,0.494,2.897,644.22,57.61,27.0,0.0,0.04,28
