,event,eta,phi,PT,jmass,ntrk,btag,hadem
19406,31456,-1.248,2.448,222.99,0.11,1.0,4.0,225.0
19407,31465,-2.259,0.165,93.21,0.11,-1.0,4.0,93.07
19408,31487,-0.184,2.302,325.17,0.11,-1.0,3.0,350.07
19409,31501,1.292,-1.842,415.63,0.11,-1.0,4.0,426.02
19410,31508,0.807,-2.375,292.8,0.11,-1.0,2.0,330.09
19411,31514,-0.915,1.2,285.06,0.11,-1.0,5.0,287.0
19412,31520,-1.008,1.599,16.24,0.11,-1.0,3.0,16.0
19413,31530,1.756,-2.113,12.9,0.11,-1.0,4.0,15.21
19414,31568,0.546,-0.6,320.0,0.11,1.0,3.0,320.03
19415,31589,0.391,2.552,21.06,0.11,-1.0,4.0,21.0
19416,31599,0.223,-2.628,77.28,0.11,-1.0,3.0,79.0
19417,31629,-0.146,-0.58,53.68,0.11,1.0,3.0,56.0
19418,31639,-0.875,1.152,56.14,0.11,1.0,3.0,60.05
19419,31656,-2.384,1.711,272.86,0.11,-1.0,8.0,274.15
19420,31661,0.957,-0.219,58.72,0.11,1.0,4.0,59.0
19421,31663,0.021,1.735,263.45,0.11,1.0,5.0,270.03
19422,31684,-0.382,0.935,365.42,0.11,1.0,4.0,366.0
19423,31687,-0.113,-2.34,80.5,0.11,1.0,3.0,80.0
19424,31720,-0.361,-1.959,184.07,0.11,1.0,2.0,184.0
19425,31729,1.098,2.553,313.64,0.11,-1.0,3.0,324.03
19426,31734,-0.787,-0.546,402.21,0.11,-1.0,4.0,420.06
19427,31737,0.505,1.346,85.73,0.11,1.0,3.0,86.01
19428,31742,-0.531,-1.933,45.2,0.11,1.0,3.0,48.0
19429,31753,-1.074,2.157,277.35,0.11,-1.0,4.0,278.01
19430,31755,-1.114,1.262,32.83,0.11,-1.0,4.0,35.2
19431,31762,-0.079,-1.034,111.75,0.11,1.0,6.0,120.03
19432,31767,0.046,-0.862,49.05,0.11,-1.0,3.0,49.1
19433,31770,-0.331,1.582,162.41,0.11,-1.0,3.0,167.0
19434,31775,0.375,0.376,18.88,0.11,-1.0,6.0,19.0
19435,31782,-0.801,-1.269,197.98,0.11,-1.0,5.0,202.0
19436,31793,-0.264,2.443,48.47,0.11,1.0,3.0,48.0
19437,31805,1.414,-2.014,345.98,0.11,1.0,3.0,356.03
19438,31807,-0.979,1.334,49.11,0.11,1.0,2.0,51.0
19439,31816,0.115,-2.236,43.59,0.11,1.0,2.0,44.0
19440,31835,-0.471,-1.681,100.19,0.11,-1.0,3.0,104.03
19441,31838,1.474,-0.243,41.36,0.11,1.0,3.0,47.12
19442,31840,1.206,-2.67,99.61,0.11,-1.0,4.0,101.07
19443,31851,-0.442,-0.156,199.71,0.11,-1.0,5.0,200.0
19444,31854,0.449,-0.788,205.59,0.11,1.0,3.0,206.01
19445,31856,1.6,1.98,139.69,0.11,-1.0,4.0,145.06
19446,31867,0.584,-0.822,60.84,0.11,-1.0,2.0,69.02
19447,31911,1.803,2.654,234.12,0.11,-1.0,4.0,234.07
19448,31916,-0.712,2.38,390.66,0.11,1.0,3.0,395.03
19449,31920,0.08,-0.153,31.06,0.11,1.0,3.0,31.0
19450,31921,1.748,-1.013,322.78,0.11,1.0,3.0,323.15
19451,31935,0.228,-1.345,238.84,0.11,1.0,9.0,239.0
19452,31938,0.366,1.872,262.38,0.11,1.0,3.0,283.05
19453,31940,0.748,-2.797,26.53,0.11,1.0,3.0,27.05
19454,31960,0.521,0.98,60.37,0.11,-1.0,3.0,60.08
19455,31965,0.497,-2.36,339.31,0.11,-1.0,4.0,383.13
19456,31975,-0.631,-0.965,17.3,0.11,-1.0,3.0,17.18
19457,31979,-1.067,0.443,287.52,0.11,1.0,3.0,315.2
19458,31986,-0.462,-2.956,114.28,0.11,1.0,2.0,114.0
19459,31988,-0.031,1.782,241.72,0.11,-1.0,4.0,242.0
19460,31993,-0.685,-0.275,238.34,0.11,-1.0,2.0,244.03
19461,32012,-0.601,2.802,435.13,0.11,-1.0,5.0,437.0
19462,32016,-0.289,0.966,133.82,0.11,-1.0,3.0,150.28
19463,32019,-0.287,0.915,167.13,0.11,-1.0,4.0,175.09
19464,32021,2.324,1.572,165.52,0.11,-1.0,4.0,166.02
19465,32028,0.366,-2.618,354.89,0.11,-1.0,4.0,355.01
19466,32035,0.97,0.052,52.1,0.11,-1.0,3.0,53.1
19467,32050,0.055,-2.975,60.72,0.11,-1.0,6.0,61.0
19468,32053,0.492,2.307,190.79,0.11,-1.0,3.0,193.0
19469,32058,-0.893,-2.6,25.29,0.11,-1.0,3.0,26.04
19470,32063,0.293,3.109,48.26,0.11,1.0,5.0,48.0
19471,32065,1.191,0.208,20.92,0.11,-1.0,3.0,21.1
19472,32073,-0.157,0.192,129.72,0.11,-1.0,3.0,134.53
19473,32076,-0.318,2.66,62.6,0.11,1.0,6.0,64.12
19474,32077,-0.205,-0.155,438.26,0.11,-1.0,6.0,452.01
19475,32089,0.466,-0.116,300.28,0.11,-1.0,4.0,303.04
19476,32096,-0.257,-0.422,420.68,0.11,1.0,3.0,422.01
19477,32104,0.115,0.447,307.46,0.11,-1.0,5.0,308.03
19478,32131,-0.81,2.829,433.29,0.11,1.0,6.0,436.04
19479,32133,0.611,1.405,27.44,0.11,1.0,4.0,28.0
19480,32136,-0.477,-0.638,34.56,0.11,1.0,5.0,35.0
19481,32161,-0.366,-1.011,97.85,0.11,-1.0,3.0,104.13
19482,32163,0.759,-2.572,519.23,0.11,1.0,5.0,532.04
19483,32164,-0.268,2.607,277.95,0.11,1.0,4.0,282.12
19484,32167,0.355,1.346,209.61,0.11,1.0,3.0,212.06
19485,32170,1.051,0.709,447.28,0.11,1.0,6.0,450.0
19486,32207,1.458,0.106,370.96,0.11,1.0,7.0,382.03
19487,32214,0.511,-0.685,332.05,0.11,1.0,3.0,382.08
19488,32217,-0.158,0.992,91.41,0.11,-1.0,3.0,92.08
19489,32233,1.283,2.539,120.53,0.11,-1.0,4.0,129.04
19490,32234,0.384,0.324,12.58,0.11,-1.0,3.0,13.0
19491,32238,0.07,1.066,40.1,0.11,-1.0,2.0,44.17
19492,32245,-0.634,3.125,115.62,0.11,1.0,3.0,116.04
19493,32257,-1.098,-1.711,283.15,0.11,1.0,3.0,283.01
19494,32259,-0.102,-0.057,504.12,0.11,-1.0,5.0,517.03
19495,32259,0.661,-2.501,126.73,0.11,1.0,3.0,127.02
19496,32266,-1.276,2.602,62.81,0.11,-1.0,5.0,66.04
19497,32271,0.627,2.502,246.4,0.11,-1.0,3.0,246.46
19498,32284,-0.523,0.059,511.75,0.11,1.0,5.0,519.05
19499,32295,-0.411,-2.153,405.03,0.11,1.0,3.0,405.0
19500,32300,-0.476,1.364,127.55,0.11,-1.0,3.0,133.03
19501,32309,0.228,0.303,11.83,0.11,1.0,3.0,12.0
19502,32310,-0.453,-1.853,31.62,0.11,-1.0,2.0,32.0
19503,32313,-0.373,-0.762,247.65,0.11,1.0,6.0,248.03
19504,32345,0.948,2.9,11.53,0.11,1.0,2.0,12.0
19505,32354,-0.471,-2.829,26.55,0.11,1.0,3.0,27.0
19506,32356,0.573,-2.474,356.72,0.11,1.0,6.0,399.1
19507,32377,-1.3,-2.806,143.16,0.11,1.0,4.0,143.15
19508,32378,0.307,-0.403,314.95,0.11,-1.0,4.0,346.16
19509,32386,-0.329,-2.67,258.98,0.11,1.0,5.0,266.01
19510,32387,0.58,1.438,151.04,0.11,1.0,2.0,156.36
19511,32396,-0.855,-2.856,185.89,0.11,-1.0,5.0,188.01
19512,32396,1.446,0.427,125.22,0.11,1.0,3.0,127.0
19513,32397,0.952,-2.952,67.81,0.11,1.0,3.0,71.04
19514,32410,0.052,3.064,28.0,0.11,-1.0,3.0,28.0
19515,32422,1.152,-1.532,85.67,0.11,1.0,5.0,87.02
19516,32439,1.226,-0.632,214.3,0.11,1.0,4.0,214.0
19517,32441,1.768,0.236,276.58,0.11,-1.0,5.0,279.1
19518,32443,-0.796,-0.463,400.77,0.11,-1.0,3.0,404.0
19519,32446,-0.011,-0.794,136.16,0.11,1.0,3.0,136.0
19520,32448,1.664,0.672,305.4,0.11,1.0,5.0,307.02
19521,32448,1.239,-2.03,80.35,0.11,-1.0,3.0,82.1
19522,32458,-0.323,2.778,206.36,0.11,-1.0,3.0,213.03
19523,32462,-1.017,1.278,63.95,0.11,-1.0,3.0,66.27
19524,32471,0.078,-0.388,29.15,0.11,1.0,3.0,29.37
19525,32472,0.586,-1.921,18.27,0.11,-1.0,4.0,18.0
19526,32481,0.907,1.27,154.66,0.11,1.0,6.0,155.03
19527,32481,1.207,-2.399,88.86,0.11,-1.0,3.0,94.08
19528,32488,0.557,2.313,199.69,0.11,-1.0,4.0,200.04
19529,32503,1.39,-0.723,141.73,0.11,-1.0,4.0,149.19
19530,32511,-0.279,2.866,12.18,0.11,-1.0,5.0,13.0
19531,32517,-0.655,2.028,104.88,0.11,1.0,7.0,106.1
19532,32518,1.525,-2.418,171.65,0.11,1.0,3.0,190.06
19533,32522,-1.224,0.853,145.66,0.11,-1.0,4.0,147.02
19534,32530,0.479,1.724,295.82,0.11,1.0,4.0,320.13
19535,32542,1.301,-0.508,36.91,0.11,1.0,4.0,37.08
19536,32558,-0.632,2.13,343.35,0.11,-1.0,5.0,378.14
19537,32563,0.424,-1.273,233.81,0.11,1.0,3.0,234.07
19538,32596,1.334,-0.169,354.46,0.11,1.0,3.0,377.02
19539,32607,1.279,-2.21,414.09,0.11,1.0,4.0,429.03
19540,32621,-0.979,2.316,150.79,0.11,1.0,4.0,151.04
19541,32647,1.501,-0.124,410.93,0.11,1.0,3.0,411.01
19542,32648,0.113,-1.029,52.12,0.11,1.0,8.0,53.24
19543,32657,-0.778,2.531,154.67,0.11,-1.0,5.0,157.14
19544,32659,0.869,0.268,31.81,0.11,-1.0,3.0,32.0
19545,32661,1.082,0.157,104.18,0.11,1.0,3.0,104.0
19546,32674,-0.012,2.491,463.71,0.11,-1.0,6.0,467.0
19547,32675,0.057,-1.592,57.09,0.11,-1.0,5.0,61.05
19548,32686,0.452,-1.254,22.86,0.11,-1.0,6.0,25.07
19549,32689,-1.127,-2.291,10.78,0.11,-1.0,3.0,11.0
19550,32697,-0.509,-0.374,390.64,0.11,-1.0,3.0,392.02
19551,32720,0.443,-2.448,420.2,0.11,1.0,3.0,435.02
19552,32750,-0.213,-1.581,173.04,0.11,1.0,3.0,186.04
19553,32769,0.59,-0.058,29.18,0.11,1.0,4.0,29.0
19554,32771,0.447,-1.909,17.82,0.11,1.0,2.0,18.09
19555,32781,1.587,-2.389,128.02,0.11,1.0,4.0,145.16
19556,32781,-0.777,0.432,108.01,0.11,-1.0,9.0,113.14
19557,32783,-0.74,-1.558,365.04,0.11,1.0,3.0,377.04
19558,32789,0.259,-0.267,347.65,0.11,1.0,5.0,349.01
19559,32805,0.187,2.144,17.74,0.11,-1.0,3.0,23.0
19560,32807,0.901,-2.753,138.39,0.11,1.0,6.0,138.0
19561,32814,-0.728,-0.397,43.53,0.11,-1.0,3.0,44.0
19562,32819,-0.585,-1.059,16.66,0.11,-1.0,3.0,17.0
19563,32829,0.771,1.962,226.86,0.11,-1.0,3.0,228.02
19564,32829,-0.035,-1.693,123.11,0.11,1.0,6.0,162.17
19565,32860,-0.404,-2.344,432.51,0.11,-1.0,4.0,441.01
19566,32861,-0.138,1.653,565.31,0.11,-1.0,2.0,576.01
19567,32862,-1.237,0.358,55.8,0.11,1.0,7.0,56.0
19568,32867,1.259,-2.183,137.58,0.11,1.0,3.0,142.04
19569,32871,1.138,-0.985,292.91,0.11,1.0,3.0,318.18
19570,32879,0.751,-2.542,444.08,0.11,-1.0,3.0,446.0
19571,32883,0.094,1.405,155.19,0.11,1.0,5.0,160.01
19572,32888,-2.301,3.092,45.1,0.11,1.0,4.0,45.04
19573,32902,0.001,0.065,43.74,0.11,-1.0,5.0,47.11
19574,32903,-0.531,2.587,63.41,0.11,1.0,3.0,67.0
19575,32911,-1.082,-0.982,99.28,0.11,1.0,10.0,103.17
19576,32935,-0.76,-2.649,235.89,0.11,1.0,3.0,280.19
19577,32961,-0.109,0.876,133.88,0.11,1.0,5.0,134.0
19578,32966,0.646,0.465,15.07,0.11,1.0,4.0,15.16
19579,32982,-0.757,-0.459,224.85,0.11,1.0,4.0,226.0
19580,32986,0.822,-0.341,57.28,0.11,-1.0,3.0,60.18
19581,32998,-0.16,-3.125,144.33,0.11,1.0,4.0,161.21
19582,33003,0.416,-0.876,108.57,0.11,1.0,5.0,109.0
19583,33006,-0.377,-0.807,144.33,0.11,-1.0,3.0,155.16
19584,33010,1.684,0.46,21.59,0.11,1.0,3.0,25.07
19585,33013,-0.213,0.471,62.47,0.11,1.0,4.0,68.07
19586,33068,-0.813,-0.567,275.21,0.11,-1.0,2.0,275.02
19587,33086,-0.931,-2.221,35.95,0.11,1.0,3.0,36.09
19588,33091,-1.687,-3.14,302.83,0.11,1.0,5.0,306.05
19589,33092,1.149,-1.997,55.48,0.11,1.0,2.0,60.14
19590,33100,0.11,-1.641,19.69,0.11,-1.0,2.0,20.05
19591,33110,0.128,-2.425,137.1,0.11,-1.0,3.0,137.24
19592,33117,-0.769,0.85,39.82,0.11,1.0,3.0,41.05
19593,33122,0.246,-1.629,23.93,0.11,1.0,3.0,25.0
19594,33124,0.653,-1.281,17.36,0.11,-1.0,3.0,17.0
19595,33129,-1.742,1.631,242.84,0.11,-1.0,4.0,245.04
19596,33134,0.049,1.45,45.97,0.11,1.0,2.0,50.1
19597,33136,-0.589,-0.835,208.27,0.11,1.0,4.0,209.0
19598,33141,0.091,-0.783,65.0,0.11,-1.0,3.0,76.09
19599,33143,-0.553,1.196,12.36,0.11,1.0,2.0,12.0
19600,33148,-0.821,-1.132,110.79,0.11,-1.0,3.0,112.0
19601,33159,-0.43,2.453,37.68,0.11,1.0,3.0,39.12
19602,33169,-0.4,-0.683,220.15,0.11,-1.0,3.0,220.0
19603,33187,-0.495,0.283,91.94,0.11,1.0,3.0,92.0
19604,33191,-0.073,-2.655,268.84,0.11,-1.0,6.0,285.2
19605,33195,-1.949,1.867,92.15,0.11,-1.0,3.0,93.01
19606,33246,-0.118,2.334,61.97,0.11,1.0,5.0,116.0
19607,33246,-0.116,2.333,26.59,0.11,-1.0,5.0,116.0
19608,33250,-0.73,-1.543,337.21,0.11,-1.0,3.0,373.09
19609,33277,-0.12,1.187,100.56,0.11,-1.0,2.0,101.1
19610,33281,0.126,3.133,347.79,0.11,1.0,4.0,361.03
19611,33303,0.087,-2.14,139.47,0.11,-1.0,3.0,143.07
19612,33310,-0.137,0.427,285.78,0.11,1.0,8.0,290.05
19613,33311,-0.289,-2.79,257.88,0.11,1.0,4.0,258.0
19614,33322,-1.344,2.199,27.79,0.11,-1.0,4.0,30.17
19615,33330,-0.29,-2.278,85.44,0.11,1.0,3.0,85.0
19616,33352,-0.241,0.454,140.84,0.11,1.0,5.0,147.02
19617,33363,-0.412,2.911,66.78,0.11,-1.0,4.0,69.09
19618,33388,0.407,0.905,688.25,0.11,-1.0,7.0,723.11
19619,33421,0.71,-0.906,40.36,0.11,-1.0,3.0,40.0
19620,33482,-0.419,0.511,321.84,0.11,1.0,3.0,326.1
19621,33487,-0.489,-1.812,74.39,0.11,1.0,5.0,75.12
19622,33492,1.442,2.165,108.05,0.11,1.0,3.0,111.1
19623,33499,-0.397,-2.193,175.39,0.11,-1.0,4.0,176.0
19624,33499,-0.737,2.636,53.93,0.11,1.0,5.0,55.18
19625,33501,1.082,-1.543,41.51,0.11,-1.0,3.0,46.0
19626,33511,2.381,1.644,19.6,0.11,1.0,3.0,20.08
19627,33516,-0.97,-1.483,143.96,0.11,-1.0,2.0,155.25
19628,33527,0.193,-2.724,75.63,0.11,1.0,3.0,77.05
19629,33545,-0.866,2.359,115.87,0.11,-1.0,3.0,117.01
19630,33547,0.903,-2.917,51.22,0.11,-1.0,4.0,51.02
19631,33548,1.873,0.818,33.51,0.11,1.0,4.0,36.06
19632,33552,1.868,-2.321,27.24,0.11,1.0,3.0,27.06
19633,33553,-0.821,-3.004,79.07,0.11,1.0,4.0,83.1
19634,33566,0.584,2.365,249.4,0.11,-1.0,4.0,262.02
19635,33583,-1.257,-1.488,52.5,0.11,-1.0,3.0,53.06
19636,33603,-1.479,1.093,65.34,0.11,-1.0,3.0,66.0
19637,33603,1.04,-1.909,53.71,0.11,1.0,4.0,54.0
19638,33610,1.063,2.494,143.76,0.11,-1.0,3.0,147.0
19639,33615,-0.137,1.502,93.98,0.11,1.0,4.0,96.04
19640,33634,0.134,-0.797,206.95,0.11,-1.0,3.0,208.0
19641,33641,0.85,-0.799,462.71,0.11,-1.0,5.0,490.13
19642,33644,-0.783,-1.385,331.86,0.11,1.0,3.0,342.01
19643,33655,-0.109,1.27,214.41,0.11,1.0,6.0,219.02
19644,33668,-1.189,-2.449,196.75,0.11,1.0,3.0,228.13
19645,33671,-0.855,-1.426,325.6,0.11,1.0,5.0,327.01
19646,33673,-0.414,0.437,51.46,0.11,1.0,4.0,52.0
19647,33687,-0.927,1.016,237.74,0.11,1.0,4.0,239.22
19648,33693,-0.218,-1.966,86.88,0.11,-1.0,3.0,88.28
19649,33708,-0.295,2.153,99.1,0.11,-1.0,3.0,105.0
19650,33728,-1.003,0.163,320.35,0.11,1.0,4.0,321.0
19651,33752,0.863,-2.001,113.03,0.11,-1.0,8.0,120.06
