,event,eta,phi,PT,jmass,ntrk,btag,hadem
17875,11383,-0.49,-2.434,534.08,72.22,-1.0,0.0,0.58
17876,11393,0.293,2.062,86.63,13.35,-1.0,0.0,0.0
17877,11394,-0.252,0.303,294.23,54.02,-1.0,0.0,0.2
17878,11395,-0.723,3.034,726.82,139.05,-1.0,0.0,0.22
17879,11398,0.239,-1.494,257.86,41.38,-1.0,0.0,0.55
17880,11404,0.294,-2.852,70.86,2.21,-1.0,0.0,999.9
17881,11406,1.477,-1.345,443.73,75.43,1.0,0.0,0.26
17882,11408,-0.113,2.349,329.66,72.08,1.0,0.0,0.06
17883,11412,-1.177,1.441,56.08,10.72,1.0,0.0,0.7
17884,11415,0.601,-2.31,129.42,21.85,-1.0,0.0,3.11
17885,11417,0.623,0.955,396.06,51.01,1.0,0.0,0.22
17886,11419,1.24,3.107,374.53,34.48,-1.0,0.0,0.07
17887,11420,-0.592,-2.072,449.34,31.68,-1.0,0.0,0.26
17888,11430,1.269,1.507,522.14,140.34,-1.0,0.0,0.33
17889,11438,-0.737,-0.907,29.49,1.17,1.0,0.0,0.0
17890,11439,0.101,-2.653,261.25,18.54,-1.0,0.0,0.53
17891,11439,0.609,-2.758,86.65,0.11,1.0,0.0,999.9
17892,11444,2.812,1.08,52.67,11.08,1.0,0.0,2.21
17893,11448,-0.412,-0.858,99.53,8.23,-1.0,0.0,0.09
17894,11449,-1.55,-2.153,493.07,151.13,1.0,0.0,0.38
17895,11451,1.681,-1.631,29.44,6.9,-1.0,0.0,2.41
17896,11454,-0.481,-0.38,495.81,119.35,-1.0,0.0,7.81
17897,11464,-3.046,3.027,25.32,5.07,1.0,0.0,999.9
