,event,eta,phi,PT,jmass,ntrk,btag,hadem
94,3190,1.062,0.91,45.34,0.0,0.0,0.0,0.0
95,3244,1.297,2.701,52.34,0.0,0.0,0.0,0.0
96,3256,-0.005,-0.253,27.7,0.0,0.0,0.0,0.0
97,3259,1.871,2.784,15.96,0.0,0.0,0.0,0.0
98,3268,-2.106,-1.851,12.21,0.0,0.0,0.0,0.0
99,3284,-1.704,-2.512,48.51,0.0,0.0,0.0,0.0
100,3362,-0.556,-1.795,12.29,0.0,0.0,0.0,0.0
101,3364,-1.089,-1.29,10.5,0.0,0.0,0.0,0.0
102,3368,-0.45,-2.938,11.71,0.0,0.0,0.0,0.0
103,3373,-1.743,1.489,80.69,0.0,0.0,0.0,0.0
104,3382,0.796,-1.346,69.04,0.0,0.0,0.0,0.0
105,3383,0.711,-0.492,18.74,0.0,0.0,0.0,0.0
106,3396,-1.849,-1.174,29.48,0.0,0.0,0.0,0.0
107,3405,1.757,-2.885,31.33,0.0,0.0,0.0,0.0
108,3405,-0.041,-0.618,21.58,0.0,0.0,0.0,0.0
109,3417,-0.52,-2.453,12.17,0.0,0.0,0.0,0.0
110,3449,-0.066,0.183,39.16,0.0,0.0,0.0,0.0
111,3458,-1.575,0.243,22.93,0.0,0.0,0.0,0.0
112,3465,2.469,2.223,111.59,0.0,0.0,0.0,0.0
113,3507,1.577,2.4,28.17,0.0,0.0,0.0,0.0
114,3553,-2.28,2.551,16.0,0.0,0.0,0.0,0.0
115,3587,0.509,-3.133,22.36,0.0,0.0,0.0,0.0
116,3661,-0.753,0.145,30.05,0.0,0.0,0.0,0.0
117,3679,-2.499,-2.173,66.58,0.0,0.0,0.0,0.0
118,3679,-2.294,0.24,49.62,0.0,0.0,0.0,0.0
119,3821,0.076,-1.571,18.56,0.0,0.0,0.0,0.0
120,3823,-0.504,1.942,16.57,0.0,0.0,0.0,0.0
121,3860,0.16,-2.873,19.61,0.0,0.0,0.0,0.0
122,3869,0.152,-1.813,30.12,0.0,0.0,0.0,0.0
123,3903,-1.021,1.874,12.25,0.0,0.0,0.0,0.0
124,3970,-0.878,-2.303,48.82,0.0,0.0,0.0,0.0
125,3980,-0.406,2.834,11.34,0.0,0.0,0.0,0.0
126,3987,0.833,-3.041,27.98,0.0,0.0,0.0,0.0
127,4074,0.533,0.883,21.96,0.0,0.0,0.0,0.0
128,4078,0.353,2.535,21.32,0.0,0.0,0.0,0.0
129,4100,0.454,0.145,55.1,0.0,0.0,0.0,0.0
130,4185,1.075,-2.961,20.59,0.0,0.0,0.0,0.0
131,4198,0.824,-1.309,47.96,0.0,0.0,0.0,0.0
132,4235,2.437,1.659,28.17,0.0,0.0,0.0,0.0
133,4236,1.165,2.639,29.03,0.0,0.0,0.0,0.0
134,4236,-1.111,-1.416,14.18,0.0,0.0,0.0,0.0
135,4243,2.477,-0.496,35.28,0.0,0.0,0.0,0.0
136,4256,-1.757,1.193,87.75,0.0,0.0,0.0,0.0
137,4302,-0.209,2.38,18.44,0.0,0.0,0.0,0.0
138,4310,2.4,0.739,45.78,0.0,0.0,0.0,0.0
139,4310,0.989,-0.397,11.05,0.0,0.0,0.0,0.0
140,4378,1.997,1.007,45.13,0.0,0.0,0.0,0.0
