,event,eta,phi,PT,jmass,ntrk,btag,hadem
94,815,1.29,-3.024,18.5,0.0,-1.0,0.0,0.0
95,826,-0.135,-2.726,53.64,0.0,-1.0,0.0,0.0
96,834,-0.406,2.281,103.78,0.0,1.0,0.0,0.0
97,843,0.393,-2.54,77.8,0.0,1.0,0.0,0.0
98,848,-1.444,1.502,44.72,0.0,-1.0,0.0,0.0
99,850,-1.045,-2.429,97.7,0.0,1.0,0.0,0.0
100,853,1.96,-2.272,47.86,0.0,1.0,0.0,0.0
101,858,-2.234,-1.128,45.7,0.0,-1.0,0.0,0.0
102,886,-0.481,-2.87,58.34,0.0,1.0,0.0,0.0
103,887,-0.466,1.644,67.95,0.0,-1.0,0.0,0.0
104,889,-0.478,1.374,43.68,0.0,1.0,0.0,0.0
105,889,-1.293,1.875,30.73,0.0,-1.0,0.0,0.0
106,897,-0.363,3.017,102.06,0.0,1.0,0.0,0.0
107,900,-0.108,-0.079,20.75,0.0,1.0,0.0,0.0
108,901,0.558,3.058,137.77,0.0,1.0,0.0,0.0
109,906,-0.352,2.811,12.79,0.0,1.0,0.0,0.0
110,915,0.365,0.541,61.0,0.0,-1.0,0.0,0.0
111,916,1.303,1.824,81.18,0.0,-1.0,0.0,0.0
112,946,-1.259,2.37,47.93,0.0,-1.0,0.0,0.0
113,957,0.486,1.629,73.82,0.0,-1.0,0.0,0.0
114,978,-0.886,0.863,37.23,0.0,1.0,0.0,0.0
115,991,0.852,1.042,72.49,0.0,-1.0,0.0,0.0
116,993,-0.632,1.934,40.66,0.0,1.0,0.0,0.0
117,1021,1.944,1.879,17.8,0.0,1.0,0.0,0.0
118,1036,-0.022,-3.024,22.15,0.0,1.0,0.0,0.0
119,1038,0.284,-1.82,51.6,0.0,-1.0,0.0,0.0
120,1053,0.207,-0.388,39.31,0.0,-1.0,0.0,0.0
121,1056,-0.494,2.002,56.77,0.0,1.0,0.0,0.0
122,1058,0.491,1.24,36.88,0.0,1.0,0.0,0.0
123,1061,0.95,-1.933,28.03,0.0,-1.0,0.0,0.0
124,1073,-1.618,0.785,145.03,0.0,1.0,0.0,0.0
125,1076,0.213,3.046,21.87,0.0,1.0,0.0,0.0
126,1096,-0.556,1.195,118.58,0.0,-1.0,0.0,0.0
127,1103,-1.032,1.386,81.57,0.0,1.0,0.0,0.0
128,1113,-1.338,1.755,71.57,0.0,1.0,0.0,0.0
129,1117,-0.075,2.723,25.97,0.0,1.0,0.0,0.0
130,1137,0.567,0.849,43.87,0.0,1.0,0.0,0.0
131,1146,1.104,2.372,20.68,0.0,1.0,0.0,0.0
132,1189,2.375,-0.456,92.45,0.0,1.0,0.0,0.0
133,1191,-0.057,1.288,49.49,0.0,-1.0,0.0,0.0
134,1197,-0.742,2.801,58.53,0.0,-1.0,0.0,0.0
135,1203,-1.65,1.035,41.59,0.0,-1.0,0.0,0.0
136,1231,-0.542,-2.339,81.0,0.0,1.0,0.0,0.0
137,1235,0.191,2.56,71.12,0.0,1.0,0.0,0.0
138,1238,0.794,-0.038,43.9,0.0,1.0,0.0,0.0
139,1249,0.508,-1.287,22.63,0.0,1.0,0.0,0.0
140,1251,-0.1,0.919,148.71,0.0,-1.0,0.0,0.0
141,1252,0.717,2.799,78.27,0.0,-1.0,0.0,0.0
142,1253,0.369,1.181,29.08,0.0,1.0,0.0,0.0
143,1253,1.397,2.54,13.19,0.0,-1.0,0.0,0.0
144,1260,-1.363,2.274,27.49,0.0,1.0,0.0,0.0
145,1272,0.712,1.963,55.93,0.0,-1.0,0.0,0.0
146,1276,0.337,-1.562,133.46,0.0,-1.0,0.0,0.0
147,1282,2.015,0.369,24.65,0.0,-1.0,0.0,0.0
148,1301,0.912,2.213,61.56,0.0,-1.0,0.0,0.0
149,1303,-1.58,-2.698,45.24,0.0,-1.0,0.0,0.0
150,1321,-0.925,0.369,96.99,0.0,1.0,0.0,0.0
151,1321,-1.348,-2.468,35.13,0.0,-1.0,0.0,0.0
152,1322,0.92,2.82,42.92,0.0,-1.0,0.0,0.0
153,1326,-2.281,-0.993,54.17,0.0,1.0,0.0,0.0
154,1330,-1.629,-1.946,50.98,0.0,1.0,0.0,0.0
155,1333,0.786,-2.172,39.79,0.0,1.0,0.0,0.0
156,1361,1.576,1.399,153.43,0.0,-1.0,0.0,0.0
157,1364,0.481,2.032,103.61,0.0,1.0,0.0,0.0
158,1368,-2.186,2.689,23.3,0.0,1.0,0.0,0.0
159,1378,-0.167,1.126,21.16,0.0,1.0,0.0,0.0
160,1384,0.689,2.861,22.04,0.0,1.0,0.0,0.0
161,1391,0.363,-0.791,144.31,0.0,-1.0,0.0,0.0
162,1392,-0.251,2.964,60.25,0.0,1.0,0.0,0.0
163,1394,0.598,-2.176,50.56,0.0,1.0,0.0,0.0
164,1428,0.258,0.438,61.13,0.0,-1.0,0.0,0.0
165,1435,0.116,0.045,24.67,0.0,1.0,0.0,0.0
166,1437,0.257,-0.088,123.34,0.0,-1.0,0.0,0.0
167,1466,-0.945,-1.981,76.99,0.0,-1.0,0.0,0.0
168,1476,-1.108,0.194,59.77,0.0,1.0,0.0,0.0
169,1492,-2.034,-2.444,27.32,0.0,1.0,0.0,0.0
170,1503,-0.881,1.496,43.72,0.0,1.0,0.0,0.0
171,1508,-1.42,-0.104,91.73,0.0,1.0,0.0,0.0
172,1519,-0.632,2.689,145.24,0.0,-1.0,0.0,0.0
173,1530,0.194,1.921,53.17,0.0,-1.0,0.0,0.0
174,1542,-0.941,-2.588,29.21,0.0,-1.0,0.0,0.0
175,1546,0.714,-0.366,115.27,0.0,1.0,0.0,0.0
176,1566,-0.47,-2.329,95.48,0.0,1.0,0.0,0.0
177,1567,-0.496,-0.131,23.58,0.0,-1.0,0.0,0.0
178,1571,0.399,-0.101,124.54,0.0,-1.0,0.0,0.0
179,1572,0.374,-1.611,94.1,0.0,1.0,0.0,0.0
180,1575,1.084,2.986,70.41,0.0,1.0,0.0,0.0
181,1584,1.717,1.467,70.54,0.0,1.0,0.0,0.0
182,1613,1.796,-3.125,13.27,0.0,-1.0,0.0,0.0
183,1615,0.911,0.861,29.02,0.0,-1.0,0.0,0.0
184,1622,-1.02,-0.774,49.94,0.0,-1.0,0.0,0.0
185,1645,0.126,-2.285,55.11,0.0,-1.0,0.0,0.0
186,1647,0.264,-0.681,42.67,0.0,1.0,0.0,0.0
187,1663,-1.483,-0.082,34.95,0.0,1.0,0.0,0.0
188,1673,2.004,-0.632,32.47,0.0,-1.0,0.0,0.0
189,1674,0.043,-1.169,100.63,0.0,1.0,0.0,0.0
190,1678,-0.214,2.517,106.67,0.0,1.0,0.0,0.0
191,1679,1.116,-1.367,66.16,0.0,1.0,0.0,0.0
192,1682,0.507,-2.766,32.57,0.0,1.0,0.0,0.0
193,1686,-1.5,2.0,64.61,0.0,-1.0,0.0,0.0
194,1690,1.108,1.745,45.82,0.0,-1.0,0.0,0.0
195,1705,-0.528,-2.5,111.22,0.0,-1.0,0.0,0.0
196,1706,0.83,-2.807,50.93,0.0,-1.0,0.0,0.0
