,event,eta,phi,PT,jmass,ntrk,btag,hadem
94,267,0.986,-2.42,173.46,0.11,1.0,34.0,181.06
95,276,-1.349,-0.868,158.29,0.11,1.0,20.0,181.08
96,276,1.234,-0.178,14.25,0.11,-1.0,15.0,15.0
97,279,1.836,3.102,144.09,0.11,1.0,29.0,197.42
98,279,-0.503,1.808,75.62,0.11,-1.0,28.0,203.07
99,285,1.934,0.603,46.65,0.11,-1.0,28.0,48.1
100,286,2.019,-1.336,12.18,0.11,-1.0,23.0,12.06
101,287,2.296,2.312,29.96,0.11,-1.0,16.0,30.08
102,293,0.101,0.548,448.82,0.11,-1.0,31.0,461.23
103,297,1.873,1.819,164.75,0.11,-1.0,21.0,170.12
104,297,1.829,0.814,60.41,0.11,1.0,12.0,64.53
105,297,2.397,2.437,36.04,0.11,1.0,21.0,36.06
106,298,0.524,-0.225,155.4,0.11,1.0,31.0,192.17
107,303,-1.589,-2.993,39.28,0.11,-1.0,32.0,42.11
108,306,-1.571,-1.438,83.37,0.11,-1.0,20.0,108.39
109,313,-0.758,2.864,50.45,0.11,1.0,28.0,50.04
110,315,-1.111,1.793,154.42,0.11,1.0,17.0,159.09
111,322,0.558,2.969,198.72,0.11,-1.0,35.0,223.15
112,328,0.109,1.927,197.7,0.11,1.0,14.0,208.04
113,330,1.215,-0.824,63.3,0.11,1.0,35.0,64.0
114,336,0.783,-3.118,330.01,0.11,-1.0,24.0,468.48
115,338,1.939,-2.993,37.32,0.11,-1.0,21.0,41.05
116,350,0.415,0.911,255.35,0.11,1.0,12.0,255.03
117,350,0.963,-2.696,210.72,0.11,-1.0,27.0,232.11
118,350,1.536,-2.419,70.0,0.11,1.0,17.0,71.0
119,351,2.05,1.776,50.73,0.11,1.0,27.0,53.09
120,357,-1.14,-1.385,10.48,0.11,-1.0,16.0,20.0
121,363,-1.924,-1.805,16.87,0.11,-1.0,20.0,17.06
122,366,2.04,0.821,19.73,0.11,-1.0,36.0,21.32
