,event,particle,eta,phi,PT,jmass,ntrk,btag,hadem
13058,447,jet,0.689,1.785,322.04,69.15,12.0,0.0,0.29
13059,447,jet,0.941,0.983,318.18,53.28,19.0,0.0,12.44
13060,447,jet,-0.263,1.31,305.21,78.7,25.0,0.0,0.58
13061,447,jet,-0.811,-2.297,274.6,57.4,10.0,1.0,0.18
13062,447,jet,0.575,2.949,225.95,29.12,3.0,0.0,4.0
13063,447,jet,1.291,1.368,210.24,23.01,12.0,0.0,0.0
13064,447,jet,-0.061,2.03,182.4,40.76,31.0,0.0,0.0
13065,447,jet,-0.816,-1.322,168.11,22.69,2.0,0.0,0.03
13066,447,jet,-0.164,2.92,103.36,16.07,19.0,1.0,10.76
13067,447,jet,0.172,-0.331,53.8,9.54,40.0,0.0,0.0
13068,447,jet,-1.543,0.919,35.72,8.04,4.0,1.0,2.07
13069,447,jet,-0.504,2.333,32.21,3.23,18.0,0.0,999.9
13070,447,jet,-1.405,-0.929,31.77,3.43,5.0,0.0,6.14
13071,447,jet,0.696,-0.379,31.19,3.94,14.0,0.0,0.0
13072,447,jet,-0.283,0.215,27.6,5.47,13.0,0.0,0.0
13073,447,jet,0.842,-2.413,25.27,7.87,18.0,0.0,0.0
13074,447,MET,0.0,1.52,297.41,0.0,0.0,0.0,0.0
13075,448,electron,-0.405,-0.165,92.22,0.0,1.0,0.0,0.0
13076,448,muon,1.394,0.213,96.76,0.11,1.0,9.0,118.37
13077,448,tau,-0.465,1.321,711.11,195.15,1.0,0.0,1.28
13078,448,jet,0.326,-1.915,963.45,279.03,48.0,1.0,0.16
13079,448,jet,-0.528,3.123,673.84,181.9,26.0,0.0,0.56
13080,448,jet,0.029,0.52,646.19,190.48,35.0,0.0,0.14
13081,448,jet,-0.36,2.271,542.44,138.05,30.0,0.0,0.62
13082,448,jet,0.2,-0.836,291.35,72.99,33.0,1.0,1.11
13083,448,jet,0.347,1.018,237.66,55.15,31.0,0.0,2.0
13084,448,jet,-0.216,-1.667,230.8,38.86,39.0,1.0,0.19
13085,448,jet,-0.616,-2.547,192.04,32.96,10.0,1.0,2.16
13086,448,jet,-0.56,-0.952,177.24,28.69,21.0,0.0,0.6
13087,448,jet,0.686,2.89,84.57,16.35,13.0,0.0,1.09
13088,448,jet,1.372,1.604,81.54,21.89,16.0,0.0,1.22
13089,448,jet,0.08,1.744,75.09,13.08,31.0,0.0,2.05
13090,448,jet,1.338,-1.673,70.35,12.17,6.0,0.0,0.25
13091,448,jet,-1.097,-1.198,63.85,6.64,5.0,0.0,0.64
13092,448,jet,-1.129,-1.86,50.3,5.1,9.0,0.0,0.0
13093,448,jet,0.705,1.949,43.64,9.22,12.0,0.0,9.92
13094,448,jet,0.057,2.644,39.7,4.86,17.0,0.0,0.0
13095,448,jet,0.803,-1.632,38.66,5.02,17.0,1.0,0.0
13096,448,jet,-0.824,0.909,35.26,6.86,11.0,0.0,12.81
13097,448,MET,0.0,-0.6,210.12,0.0,0.0,0.0,0.0
13098,449,tau,0.204,-2.693,408.68,91.81,1.0,0.0,0.72
13099,449,tau,0.692,-1.069,94.81,24.81,1.0,0.0,0.77
13100,449,jet,-0.062,-1.849,790.5,179.32,56.0,1.0,0.07
13101,449,jet,0.18,1.996,762.56,205.51,59.0,1.0,2.5
13102,449,jet,0.051,1.06,537.25,127.3,26.0,0.0,0.07
13103,449,jet,-0.129,-0.041,520.77,136.9,39.0,0.0,0.38
13104,449,jet,-0.276,-0.953,483.51,101.31,28.0,1.0,0.16
13105,449,jet,0.145,2.758,457.84,73.61,26.0,0.0,0.15
13106,449,jet,0.699,-1.778,418.55,103.3,37.0,0.0,0.05
13107,449,jet,1.181,1.029,358.65,91.37,25.0,0.0,1.04
13108,449,jet,-0.529,2.886,353.11,80.45,39.0,1.0,1.09
13109,449,jet,-0.708,-1.473,318.05,56.93,36.0,0.0,0.2
13110,449,jet,0.878,0.318,279.15,62.66,26.0,1.0,3.1
13111,449,jet,0.162,0.441,171.23,13.44,16.0,0.0,0.0
13112,449,jet,1.058,1.906,169.64,34.79,15.0,0.0,0.27
13113,449,jet,0.509,-0.55,151.09,39.47,26.0,1.0,0.86
13114,449,jet,-0.468,2.29,131.28,23.66,35.0,0.0,1.33
13115,449,jet,-0.562,-2.452,129.49,21.26,10.0,0.0,0.4
13116,449,jet,1.023,-2.397,122.96,12.84,15.0,0.0,0.75
13117,449,jet,-1.437,1.814,111.23,10.31,5.0,0.0,0.19
13118,449,jet,-0.818,0.358,101.04,13.95,20.0,0.0,0.32
13119,449,jet,-0.932,1.253,67.38,18.68,11.0,1.0,0.42
13120,449,jet,-0.812,-0.865,66.57,8.09,24.0,0.0,0.09
13121,449,jet,0.671,-3.077,62.5,4.77,8.0,0.0,999.9
13122,449,jet,1.199,-0.247,60.96,10.23,29.0,1.0,0.0
13123,449,jet,1.237,-1.398,54.25,3.97,11.0,1.0,0.53
13124,449,jet,-1.273,-2.018,29.96,2.12,2.0,0.0,999.9
13125,449,MET,0.0,1.056,175.36,0.0,0.0,0.0,0.0
13126,450,photon,-1.185,-1.715,68.08,0.0,0.0,0.0,0.0
13127,450,muon,1.916,1.187,18.27,0.11,1.0,19.0,20.07
13128,450,tau,-0.058,-0.323,675.15,190.03,-1.0,0.0,0.92
13129,450,tau,0.721,2.454,94.79,21.05,-1.0,0.0,10.23
13130,450,jet,0.234,1.551,798.78,178.89,50.0,1.0,0.67
13131,450,jet,-0.621,-2.758,536.63,127.17,32.0,1.0,0.49
13132,450,jet,0.382,-2.489,413.53,74.76,22.0,0.0,0.79
13133,450,jet,1.039,1.976,381.17,74.9,23.0,1.0,0.15
13134,450,jet,0.306,-1.181,377.39,65.9,24.0,0.0,4.83
13135,450,jet,-0.102,-1.769,370.41,77.4,29.0,1.0,0.09
13136,450,jet,-0.681,1.311,314.58,68.35,23.0,1.0,0.17
13137,450,jet,-1.182,1.536,290.48,48.93,25.0,0.0,1.38
