,event,particle,eta,phi,PT,jmass,ntrk,btag,hadem
16165,2202,jet,0.064,1.609,2099.35,364.89,32.0,0.0,0.65
16166,2202,jet,-0.319,2.812,1934.0,36.64,13.0,0.0,0.04
16167,2202,jet,0.473,1.243,522.31,26.15,35.0,0.0,0.69
16168,2202,jet,1.696,1.114,124.74,10.83,6.0,0.0,3.04
16169,2202,MET,0.0,2.14,286.78,0.0,0.0,0.0,0.0
16170,2203,tau,-0.427,-2.596,461.18,28.28,1.0,0.0,0.34
16171,2203,tau,1.215,2.289,240.36,33.56,-1.0,0.0,4.86
16172,2203,tau,0.488,-2.114,107.96,11.76,1.0,0.0,0.0
16173,2203,jet,0.982,1.444,1858.23,143.09,44.0,0.0,1.9
16174,2203,jet,-1.318,-1.252,1228.34,139.49,35.0,0.0,1.83
16175,2203,jet,-0.704,-1.527,405.42,49.43,26.0,0.0,0.27
16176,2203,jet,1.15,-1.176,100.82,17.37,13.0,0.0,0.65
16177,2203,jet,1.19,3.124,88.85,11.24,11.0,1.0,0.63
16178,2203,jet,1.549,-0.495,71.12,8.12,6.0,0.0,20.65
16179,2203,jet,-1.098,-0.843,63.55,8.23,24.0,0.0,1.65
16180,2203,jet,0.705,-1.322,36.36,5.23,10.0,0.0,999.9
16181,2203,jet,1.128,1.844,29.53,5.83,52.0,0.0,0.72
16182,2203,jet,1.207,-0.083,28.45,5.09,6.0,0.0,5.8
16183,2203,jet,-0.155,0.446,26.23,3.61,2.0,0.0,13.93
16184,2203,jet,2.202,-2.697,23.71,4.57,8.0,0.0,0.0
16185,2203,MET,0.0,2.793,133.53,0.0,0.0,0.0,0.0
16186,2204,jet,-0.139,1.882,4605.31,285.79,32.0,0.0,1.93
16187,2204,jet,0.943,-1.101,897.37,151.26,35.0,0.0,0.55
16188,2204,jet,-0.065,-1.346,352.41,25.81,9.0,0.0,0.09
16189,2204,jet,1.772,-0.57,333.06,46.16,24.0,0.0,1.06
16190,2204,jet,0.023,-2.514,67.69,8.59,5.0,0.0,0.0
16191,2204,jet,0.391,-1.43,35.11,5.94,13.0,0.0,0.64
16192,2204,MET,0.0,-1.34,3039.85,0.0,0.0,0.0,0.0
16193,2205,jet,1.516,-0.079,1362.36,56.24,25.0,0.0,0.43
16194,2205,jet,-1.624,-2.768,1344.79,82.48,15.0,0.0,0.57
16195,2205,jet,0.463,1.715,679.05,41.7,21.0,0.0,0.11
16196,2205,jet,1.535,-3.054,39.22,5.42,6.0,0.0,3.23
16197,2205,MET,0.0,-1.102,96.96,0.0,0.0,0.0,0.0
16198,2206,jet,0.773,3.049,2207.51,145.94,38.0,0.0,0.06
16199,2206,jet,-1.135,0.424,1797.48,108.16,27.0,0.0,1.1
16200,2206,jet,0.152,-1.687,1199.68,149.48,22.0,0.0,2.66
16201,2206,jet,-0.466,-0.132,401.28,48.79,19.0,0.0,0.47
16202,2206,jet,0.565,-1.962,87.82,11.9,16.0,0.0,0.83
16203,2206,jet,0.734,-2.697,42.62,7.13,22.0,0.0,8.32
16204,2206,jet,-1.162,1.015,29.05,3.23,4.0,0.0,999.9
16205,2206,jet,2.912,-0.46,22.88,4.31,0.0,0.0,999.9
16206,2206,MET,0.0,0.855,522.24,0.0,0.0,0.0,0.0
16207,2207,jet,-1.942,-2.814,1166.97,127.15,15.0,1.0,2.62
16208,2207,jet,1.301,1.171,1129.14,83.78,34.0,0.0,0.15
16209,2207,jet,0.735,0.251,1031.82,49.81,17.0,0.0,0.03
16210,2207,jet,0.513,-2.367,476.99,54.04,36.0,0.0,0.8
16211,2207,jet,0.373,-1.363,471.75,34.4,15.0,0.0,0.0
16212,2207,jet,0.468,-1.896,113.51,10.38,25.0,1.0,2.51
16213,2207,jet,-1.545,-2.417,67.97,6.22,9.0,0.0,0.3
16214,2207,MET,0.0,1.227,70.96,0.0,0.0,0.0,0.0
16215,2208,jet,0.118,2.315,3986.26,104.79,16.0,0.0,2.31
16216,2208,jet,-0.164,-0.474,1819.06,85.57,18.0,0.0,0.44
16217,2208,jet,0.046,-2.415,538.47,110.2,45.0,1.0,0.79
16218,2208,jet,0.665,-3.046,420.62,47.23,24.0,1.0,1.06
16219,2208,jet,0.69,-2.001,380.2,23.21,20.0,0.0,0.23
16220,2208,jet,0.283,-1.975,204.02,8.85,32.0,1.0,0.0
16221,2208,jet,0.897,2.788,41.46,4.85,12.0,0.0,0.0
16222,2208,jet,-0.771,-0.292,32.91,7.15,8.0,0.0,0.0
16223,2208,MET,0.0,-0.491,2442.43,0.0,0.0,0.0,0.0
16224,2209,electron,-0.467,2.384,102.86,0.0,1.0,0.0,0.0
16225,2209,jet,-0.362,-1.6,2325.8,170.84,36.0,0.0,1.4
16226,2209,jet,-0.058,1.283,1951.45,49.28,16.0,0.0,0.06
16227,2209,jet,0.506,1.054,1359.91,188.07,35.0,0.0,0.49
16228,2209,jet,1.407,-2.942,896.56,68.58,39.0,0.0,3.09
16229,2209,jet,1.027,3.064,442.59,24.71,40.0,0.0,0.13
16230,2209,jet,0.226,0.523,210.84,26.37,35.0,1.0,0.16
16231,2209,jet,0.281,2.894,79.89,12.28,10.0,1.0,0.96
16232,2209,jet,-1.247,0.041,34.96,7.25,5.0,0.0,0.33
16233,2209,MET,0.0,-1.421,806.41,0.0,0.0,0.0,0.0
16234,2210,jet,-0.163,1.268,1634.92,98.36,23.0,0.0,4.82
16235,2210,jet,0.085,0.294,1358.74,81.98,24.0,0.0,0.43
16236,2210,MET,0.0,-2.317,2642.64,0.0,0.0,0.0,0.0
16237,2211,jet,0.957,-1.025,2808.97,104.43,20.0,0.0,0.01
16238,2211,jet,-0.978,2.221,2636.35,75.11,22.0,1.0,0.0
16239,2211,jet,-1.857,0.87,163.2,17.55,12.0,0.0,0.07
16240,2211,jet,1.157,0.759,74.95,6.58,7.0,1.0,6.55
16241,2211,jet,-0.725,-1.24,32.03,6.31,10.0,0.0,999.9
16242,2211,MET,0.0,1.821,160.83,0.0,0.0,0.0,0.0
16243,2212,jet,0.469,-1.822,2123.95,48.05,15.0,0.0,0.0
16244,2212,jet,1.041,1.811,1391.28,159.79,34.0,1.0,1.04
16245,2212,jet,-1.616,0.756,1359.02,68.18,18.0,1.0,2.72
16246,2212,MET,0.0,-1.916,291.01,0.0,0.0,0.0,0.0
16247,2213,tau,0.408,0.582,1889.11,42.99,1.0,0.0,0.11
16248,2213,tau,1.083,0.121,695.98,39.33,-1.0,0.0,14.04
16249,2213,jet,-0.998,-2.659,3156.94,243.81,57.0,0.0,0.4
16250,2213,jet,0.344,-0.055,218.57,30.96,13.0,1.0,1.45
16251,2213,jet,0.799,-3.132,216.1,25.97,16.0,0.0,0.52
16252,2213,jet,0.38,-1.041,51.31,14.52,11.0,0.0,1.34
16253,2213,jet,1.045,-2.284,46.94,7.78,5.0,0.0,5.48
16254,2213,jet,-2.08,-2.914,24.33,6.27,8.0,0.0,0.0
16255,2213,MET,0.0,0.642,705.08,0.0,0.0,0.0,0.0
16256,2214,jet,0.117,2.058,700.25,114.45,26.0,0.0,1.12
16257,2214,jet,0.756,-0.442,680.03,41.56,7.0,0.0,0.55
16258,2214,jet,2.152,-2.281,26.55,6.46,4.0,0.0,6.21
16259,2214,MET,0.0,-2.259,373.15,0.0,0.0,0.0,0.0
16260,2215,muon,-0.868,1.218,660.72,0.11,1.0,6.0,748.15
16261,2215,tau,1.314,0.395,787.02,25.69,1.0,0.0,1.74
16262,2215,jet,-0.234,-2.437,2314.2,70.46,18.0,0.0,0.02
16263,2215,jet,-0.611,0.458,555.12,49.57,22.0,0.0,0.12
16264,2215,jet,-0.791,-2.42,273.79,22.55,23.0,1.0,0.0
16265,2215,jet,-0.494,0.92,256.31,27.73,23.0,0.0,0.15
16266,2215,jet,-0.64,-0.693,48.9,8.76,8.0,0.0,1.16
16267,2215,jet,-2.28,-1.277,45.83,6.76,4.0,0.0,0.18
16268,2215,jet,-1.159,0.617,42.54,5.48,12.0,0.0,0.36
16269,2215,jet,1.596,-0.753,27.92,4.77,3.0,0.0,0.61
16270,2215,MET,0.0,1.05,443.21,0.0,0.0,0.0,0.0
16271,2216,muon,-0.8,-1.767,224.47,0.11,1.0,4.0,228.06
16272,2216,jet,2.425,0.489,600.67,6.93,2.0,0.0,999.9
16273,2216,jet,2.136,1.938,333.31,57.03,25.0,1.0,0.91
16274,2216,jet,-0.934,-2.323,135.68,6.66,9.0,1.0,0.0
16275,2216,MET,0.0,-2.361,383.96,0.0,0.0,0.0,0.0
16276,2217,jet,0.284,0.523,4411.53,108.56,24.0,0.0,0.35
16277,2217,jet,0.148,-2.279,2827.58,217.58,55.0,0.0,0.34
16278,2217,jet,-0.31,-2.738,757.47,100.48,51.0,0.0,0.33
16279,2217,jet,-0.157,2.704,631.53,39.71,20.0,0.0,0.13
16280,2217,jet,0.307,-2.698,238.58,20.23,52.0,1.0,0.13
16281,2217,jet,0.807,2.195,218.32,7.94,6.0,1.0,0.0
16282,2217,jet,0.79,-2.654,139.92,7.27,21.0,1.0,0.0
16283,2217,MET,0.0,-2.865,262.62,0.0,0.0,0.0,0.0
16284,2218,tau,-1.301,1.727,1906.84,232.09,-1.0,0.0,0.11
16285,2218,jet,0.027,2.566,1027.38,26.06,8.0,0.0,1.6
16286,2218,jet,-0.169,1.47,94.33,11.3,11.0,0.0,0.05
16287,2218,MET,0.0,-1.15,2804.85,0.0,0.0,0.0,0.0
16288,2219,jet,0.908,-0.238,2726.57,379.69,15.0,0.0,0.2
16289,2219,jet,-0.223,-2.688,2308.32,435.39,65.0,0.0,1.33
16290,2219,jet,-0.653,1.443,1826.87,83.75,23.0,0.0,1.05
16291,2219,jet,0.447,2.947,207.53,33.75,26.0,0.0,0.4
16292,2219,jet,-0.293,-2.29,41.58,1.24,31.0,0.0,999.9
16293,2219,jet,0.125,1.377,35.32,3.44,6.0,0.0,0.0
16294,2219,jet,0.801,-3.095,27.84,4.64,20.0,0.0,0.0
16295,2219,MET,0.0,-2.822,579.12,0.0,0.0,0.0,0.0
16296,2220,electron,-0.499,-1.904,720.85,0.0,1.0,0.0,0.0
16297,2220,jet,0.517,1.433,2895.21,48.72,21.0,0.0,0.02
16298,2220,jet,-0.14,0.821,1380.88,109.93,32.0,0.0,1.94
16299,2220,jet,-0.482,0.386,44.0,9.67,26.0,0.0,11.8
16300,2220,MET,0.0,-1.912,3423.44,0.0,0.0,0.0,0.0
16301,2221,jet,0.112,-1.209,3820.53,216.37,49.0,0.0,0.02
16302,2221,jet,0.111,2.085,3804.09,314.43,28.0,1.0,0.77
16303,2221,jet,-0.53,0.717,654.97,50.8,20.0,0.0,0.33
16304,2221,jet,0.944,-1.943,193.31,32.9,23.0,0.0,0.1
16305,2221,jet,-0.845,2.982,60.9,8.16,6.0,0.0,999.9
16306,2221,jet,0.422,2.367,53.19,4.38,27.0,0.0,3.35
16307,2221,jet,0.129,-1.876,45.33,9.52,15.0,0.0,11.13
16308,2221,MET,0.0,0.153,187.96,0.0,0.0,0.0,0.0
16309,2222,jet,-0.31,-0.111,2948.17,211.09,30.0,1.0,0.63
16310,2222,jet,0.07,-1.909,2230.73,105.51,18.0,0.0,0.39
16311,2222,jet,0.125,2.478,1364.14,30.87,16.0,0.0,2.43
16312,2222,jet,0.159,1.92,1092.74,94.43,32.0,0.0,0.5
16313,2222,jet,0.78,2.687,115.42,13.08,13.0,0.0,0.23
16314,2222,MET,0.0,2.474,818.29,0.0,0.0,0.0,0.0
16315,2223,jet,-0.502,-2.74,1445.73,72.24,15.0,0.0,1.52
16316,2223,jet,2.178,0.963,1083.47,68.96,14.0,0.0,0.68
16317,2223,jet,-2.145,-0.658,399.81,27.76,10.0,1.0,60.77
16318,2223,jet,-0.531,-0.304,317.24,20.41,9.0,0.0,9.98
16319,2223,MET,0.0,0.067,84.95,0.0,0.0,0.0,0.0
16320,2224,photon,-0.425,-0.449,45.91,0.0,0.0,0.0,0.0
16321,2224,muon,-0.423,-0.404,201.65,0.11,1.0,4.0,202.23
16322,2224,jet,0.581,1.874,3358.98,447.09,41.0,0.0,1.33
16323,2224,jet,-0.235,-2.039,2363.16,83.21,14.0,0.0,0.01
16324,2224,MET,0.0,-0.5,2098.6,0.0,0.0,0.0,0.0
16325,2225,muon,0.098,2.373,889.92,0.11,1.0,2.0,1114.28
16326,2225,jet,-0.581,-2.472,1150.84,129.32,19.0,0.0,0.35
16327,2225,jet,1.148,-0.244,1017.02,70.87,24.0,0.0,0.2
16328,2225,jet,0.585,0.117,776.63,114.77,35.0,1.0,0.09
16329,2225,jet,-1.157,-2.345,147.73,10.42,12.0,0.0,2.09
16330,2225,jet,-3.271,2.025,88.2,7.51,0.0,0.0,4.16
16331,2225,jet,-1.134,-1.336,67.62,13.94,8.0,0.0,0.41
16332,2225,jet,-1.538,-0.824,31.34,3.19,5.0,0.0,0.07
16333,2225,jet,-1.89,-2.361,24.63,4.23,4.0,0.0,0.27
16334,2225,MET,0.0,1.131,212.72,0.0,0.0,0.0,0.0
16335,2226,photon,-0.282,0.454,611.95,0.0,0.0,0.0,0.0
16336,2226,jet,0.747,-2.045,1959.95,108.63,34.0,0.0,0.09
16337,2226,jet,-0.572,2.617,1810.13,89.56,39.0,0.0,0.04
16338,2226,jet,1.744,-2.445,184.24,28.98,21.0,0.0,0.6
16339,2226,jet,-1.302,2.488,40.16,5.14,5.0,0.0,0.0
16340,2226,jet,2.482,-2.382,25.56,5.12,4.0,0.0,999.9
16341,2226,MET,0.0,0.268,1414.41,0.0,0.0,0.0,0.0
16342,2227,jet,0.508,-0.212,2337.32,430.4,70.0,0.0,0.54
16343,2227,jet,-0.297,2.813,1966.98,108.28,26.0,0.0,0.73
16344,2227,jet,-0.159,-2.579,1128.7,34.5,10.0,0.0,0.01
16345,2227,jet,-0.122,0.372,707.45,35.98,25.0,0.0,0.09
16346,2227,jet,0.163,1.553,509.63,37.61,18.0,0.0,0.26
16347,2227,jet,0.685,-1.212,371.11,33.58,20.0,0.0,0.0
16348,2227,jet,0.765,0.321,218.41,32.83,30.0,0.0,0.09
16349,2227,jet,0.762,-0.679,105.57,15.59,44.0,0.0,0.0
16350,2227,jet,0.282,0.207,94.65,5.07,51.0,1.0,1.42
16351,2227,jet,-0.159,1.182,48.17,6.05,13.0,0.0,0.0
16352,2227,jet,1.898,2.938,29.79,4.4,6.0,0.0,0.0
16353,2227,jet,0.201,-0.576,25.83,2.0,40.0,0.0,0.0
16354,2227,MET,0.0,-3.059,692.23,0.0,0.0,0.0,0.0
16355,2228,jet,2.251,2.524,769.66,68.15,9.0,0.0,11.79
16356,2228,jet,-0.867,-1.053,602.66,63.44,13.0,1.0,0.39
16357,2228,jet,-2.372,0.328,438.7,38.03,18.0,0.0,0.89
16358,2228,jet,-1.978,-2.548,235.18,25.93,13.0,1.0,2.13
16359,2228,jet,1.951,-2.858,26.53,4.32,6.0,0.0,0.9
16360,2228,jet,-3.694,-2.626,24.01,3.51,0.0,0.0,20.29
16361,2228,MET,0.0,0.51,176.59,0.0,0.0,0.0,0.0
16362,2229,jet,-0.152,-0.605,2397.52,107.41,29.0,0.0,0.06
16363,2229,jet,0.869,2.791,1359.29,110.62,28.0,0.0,0.08
16364,2229,jet,0.635,2.211,1073.69,66.23,28.0,0.0,0.35
16365,2229,jet,-1.509,-2.947,820.51,30.33,13.0,0.0,0.01
16366,2229,jet,0.279,-0.358,618.32,70.8,29.0,0.0,0.29
16367,2229,jet,0.738,0.736,371.19,25.87,17.0,0.0,0.16
16368,2229,jet,0.752,1.422,31.81,1.29,3.0,0.0,999.9
16369,2229,MET,0.0,2.288,165.04,0.0,0.0,0.0,0.0
16370,2230,jet,1.596,1.098,1534.93,198.42,50.0,0.0,0.57
16371,2230,jet,-0.065,-1.482,1191.86,157.74,35.0,0.0,0.02
16372,2230,jet,-1.701,2.852,769.67,106.53,30.0,0.0,3.82
16373,2230,jet,0.461,-1.145,259.13,36.69,36.0,1.0,0.22
16374,2230,jet,0.393,-0.527,202.82,34.96,16.0,0.0,0.53
16375,2230,jet,-0.848,-2.538,86.67,17.87,11.0,0.0,0.44
16376,2230,jet,-1.7,-2.861,57.77,7.66,18.0,1.0,0.1
16377,2230,jet,-0.476,-1.754,39.69,5.02,20.0,0.0,0.0
16378,2230,jet,0.896,-0.891,27.73,2.08,14.0,0.0,0.0
16379,2230,jet,-0.145,2.746,23.5,3.22,3.0,0.0,0.0
16380,2230,MET,0.0,2.816,232.06,0.0,0.0,0.0,0.0
16381,2231,jet,0.752,-2.233,2714.96,181.28,36.0,0.0,1.49
16382,2231,jet,-0.625,1.448,2497.91,170.4,33.0,1.0,0.66
16383,2231,jet,0.545,-0.581,1651.36,74.57,20.0,0.0,1.52
16384,2231,jet,-0.975,-0.095,85.02,9.5,6.0,0.0,0.98
16385,2231,jet,-1.35,2.641,45.44,9.25,10.0,0.0,0.16
16386,2231,jet,-1.545,0.993,23.85,2.81,6.0,0.0,0.0
16387,2231,MET,0.0,1.682,531.29,0.0,0.0,0.0,0.0
16388,2232,jet,-0.27,-1.961,3898.91,566.47,98.0,0.0,0.47
16389,2232,jet,0.277,1.131,2809.71,138.12,18.0,0.0,0.0
16390,2232,jet,-0.162,0.993,1577.08,26.03,8.0,0.0,999.9
16391,2232,jet,0.325,3.025,435.49,30.76,15.0,0.0,0.37
16392,2232,jet,0.365,-1.873,153.43,25.37,20.0,0.0,0.27
16393,2232,jet,-0.112,2.102,86.29,11.72,14.0,0.0,0.15
16394,2232,jet,-0.575,-1.441,61.75,11.54,35.0,0.0,0.14
16395,2232,jet,-0.035,1.536,24.18,3.76,4.0,0.0,999.9
16396,2232,MET,0.0,-1.823,157.36,0.0,0.0,0.0,0.0
16397,2233,jet,-0.634,2.879,3111.06,90.12,15.0,0.0,0.07
16398,2233,jet,0.557,-0.804,1924.15,89.11,34.0,0.0,0.68
16399,2233,jet,0.922,0.613,1402.24,63.53,34.0,0.0,1.11
16400,2233,jet,0.924,2.077,195.35,43.94,35.0,0.0,0.52
16401,2233,jet,-2.363,-1.469,25.35,4.74,5.0,0.0,0.0
16402,2233,jet,2.038,-2.898,23.54,4.95,5.0,0.0,0.28
16403,2233,MET,0.0,-0.537,716.79,0.0,0.0,0.0,0.0
16404,2234,jet,0.928,0.581,2506.73,304.89,64.0,0.0,0.21
16405,2234,jet,-1.08,-2.569,1938.49,205.11,36.0,1.0,1.23
16406,2234,jet,0.436,-2.454,660.23,55.9,32.0,1.0,0.73
16407,2234,jet,0.91,-1.959,54.51,13.67,17.0,0.0,0.15
16408,2234,jet,1.617,2.591,31.38,6.11,6.0,0.0,0.52
16409,2234,MET,0.0,1.14,189.07,0.0,0.0,0.0,0.0
16410,2235,jet,-0.024,1.482,4054.52,116.12,31.0,0.0,0.01
16411,2235,jet,0.256,-1.628,2106.09,108.55,29.0,0.0,0.0
16412,2235,jet,-0.712,-1.691,1965.16,115.0,18.0,0.0,1.29
16413,2235,MET,0.0,-0.409,14.9,0.0,0.0,0.0,0.0
16414,2236,electron,0.792,-1.298,1333.05,0.0,1.0,0.0,0.0
16415,2236,jet,0.28,1.427,2341.58,116.13,21.0,0.0,4.76
16416,2236,jet,-0.769,1.999,1016.94,26.69,10.0,0.0,0.0
16417,2236,jet,-1.7,2.755,68.04,15.07,10.0,0.0,0.4
16418,2236,jet,-2.04,-2.827,45.31,10.26,9.0,0.0,0.27
16419,2236,jet,-1.277,2.662,38.87,5.65,8.0,0.0,0.29
16420,2236,MET,0.0,-1.635,1986.49,0.0,0.0,0.0,0.0
16421,2237,jet,0.312,-0.108,2575.67,259.17,36.0,0.0,3.16
16422,2237,jet,-0.361,-2.308,2112.41,98.43,19.0,0.0,1.12
16423,2237,jet,0.007,1.433,1902.21,86.76,8.0,0.0,1.07
16424,2237,jet,-0.01,-2.97,775.79,167.47,27.0,0.0,0.9
16425,2237,jet,-1.699,2.356,604.96,40.95,11.0,0.0,2.43
16426,2237,jet,-0.43,-0.947,83.38,14.07,8.0,0.0,2.61
16427,2237,jet,0.603,2.438,74.62,11.82,11.0,0.0,3.44
16428,2237,jet,-1.069,-1.318,35.75,5.54,6.0,0.0,0.64
16429,2237,MET,0.0,-2.175,375.57,0.0,0.0,0.0,0.0
16430,2238,jet,-1.065,1.786,1758.04,52.09,21.0,0.0,3.14
16431,2238,jet,-1.128,-2.178,1258.58,169.75,49.0,0.0,0.25
16432,2238,jet,-0.204,0.386,951.76,32.7,13.0,0.0,2.12
16433,2238,jet,2.149,-1.292,668.11,127.35,33.0,0.0,0.82
16434,2238,jet,1.711,-1.955,154.87,21.3,6.0,0.0,0.57
16435,2238,jet,2.259,-1.75,53.46,4.94,20.0,1.0,0.7
16436,2238,MET,0.0,-1.099,209.8,0.0,0.0,0.0,0.0
16437,2239,jet,0.325,1.271,4066.09,104.2,16.0,0.0,0.02
16438,2239,jet,-0.131,-2.285,1978.48,78.69,8.0,0.0,5.56
16439,2239,jet,-0.464,-1.689,1161.41,37.73,34.0,1.0,0.0
16440,2239,jet,-0.845,-1.516,903.0,28.41,33.0,0.0,0.85
16441,2239,jet,0.667,0.212,323.25,29.43,24.0,0.0,0.54
16442,2239,jet,0.645,-0.858,66.66,14.93,9.0,0.0,2.53
16443,2239,MET,0.0,-2.063,392.37,0.0,0.0,0.0,0.0
16444,2240,jet,0.64,1.736,2212.21,73.68,24.0,0.0,0.8
16445,2240,jet,-0.205,0.267,1088.02,80.76,20.0,0.0,0.77
16446,2240,jet,-0.632,-2.155,1038.6,49.83,34.0,0.0,0.07
16447,2240,jet,-0.082,-2.037,787.13,77.43,28.0,0.0,0.34
16448,2240,jet,1.264,-0.193,680.34,21.32,11.0,0.0,0.54
16449,2240,jet,1.965,-2.415,327.18,10.49,9.0,0.0,0.0
16450,2240,jet,1.261,-1.94,295.41,27.45,14.0,0.0,1.04
16451,2240,jet,-2.143,3.098,58.62,7.83,10.0,0.0,1.66
16452,2240,jet,-0.453,-2.708,32.6,6.53,14.0,0.0,0.75
16453,2240,MET,0.0,-1.543,276.44,0.0,0.0,0.0,0.0
16454,2241,tau,0.046,-1.118,2813.25,87.56,1.0,0.0,19.03
16455,2241,jet,-0.5,2.104,2919.56,381.28,35.0,0.0,0.95
16456,2241,jet,1.385,0.989,519.85,27.6,14.0,0.0,1.3
16457,2241,jet,-0.258,-1.885,34.9,8.55,7.0,0.0,0.42
16458,2241,MET,0.0,-1.646,380.59,0.0,0.0,0.0,0.0
16459,2242,muon,-0.551,1.999,1985.31,0.11,-1.0,4.0,1986.0
16460,2242,muon,0.491,-2.069,1166.77,0.11,1.0,4.0,1168.0
16461,2242,jet,0.114,-0.634,2781.72,236.32,57.0,0.0,0.78
16462,2242,jet,0.763,3.133,655.4,34.38,12.0,0.0,0.8
16463,2242,jet,-0.775,-0.734,330.77,42.43,27.0,0.0,1.3
16464,2242,jet,-0.321,-0.783,26.87,3.72,63.0,0.0,0.0
16465,2242,MET,0.0,1.955,1181.23,0.0,0.0,0.0,0.0
16466,2243,electron,-0.524,-0.59,27.16,0.0,1.0,0.0,0.0
16467,2243,jet,0.386,-2.394,3181.21,485.57,59.0,0.0,0.48
16468,2243,jet,-0.485,1.039,2470.38,502.46,49.0,0.0,0.44
16469,2243,jet,-0.92,-0.019,877.54,47.72,17.0,0.0,0.05
16470,2243,jet,0.892,3.089,292.18,44.2,22.0,0.0,0.23
16471,2243,jet,0.412,2.849,152.11,22.64,15.0,0.0,2.08
16472,2243,jet,1.323,2.639,104.96,7.23,10.0,0.0,0.26
16473,2243,jet,-0.805,2.074,68.63,11.64,10.0,0.0,2.63
16474,2243,MET,0.0,-0.134,762.58,0.0,0.0,0.0,0.0
16475,2244,jet,-0.397,-3.004,3277.29,91.0,18.0,1.0,0.05
16476,2244,jet,0.124,0.623,3184.96,62.77,17.0,1.0,0.0
16477,2244,jet,0.427,-0.933,1204.38,33.78,19.0,0.0,0.12
16478,2244,jet,2.199,-1.48,287.23,30.76,19.0,0.0,2.5
16479,2244,MET,0.0,-2.2,161.52,0.0,0.0,0.0,0.0
16480,2245,jet,-0.081,1.188,1972.03,75.86,29.0,0.0,0.45
16481,2245,jet,0.618,-1.65,1233.07,57.66,30.0,1.0,0.8
16482,2245,jet,-1.344,2.6,1226.67,30.61,8.0,0.0,0.35
16483,2245,jet,0.625,-1.181,980.33,79.84,26.0,0.0,0.1
16484,2245,MET,0.0,-1.392,333.8,0.0,0.0,0.0,0.0
16485,2246,jet,-0.509,-2.433,1525.84,88.32,36.0,0.0,0.8
16486,2246,jet,-0.601,0.549,1096.45,41.87,10.0,0.0,0.01
16487,2246,jet,-0.3,3.124,944.13,69.82,23.0,0.0,0.09
16488,2246,jet,1.851,-0.143,706.85,95.6,32.0,0.0,0.0
16489,2246,jet,0.108,1.873,469.1,28.38,18.0,0.0,0.25
16490,2246,jet,1.579,-0.454,275.38,21.04,31.0,0.0,0.24
16491,2246,jet,2.841,2.235,23.46,5.15,1.0,0.0,5.47
16492,2246,MET,0.0,0.402,408.53,0.0,0.0,0.0,0.0
16493,2247,tau,0.582,2.354,3042.32,82.07,1.0,0.0,0.04
16494,2247,jet,-0.148,-1.193,2814.41,493.15,89.0,0.0,0.82
16495,2247,jet,-0.184,0.128,1697.98,181.92,44.0,0.0,1.95
16496,2247,jet,-1.107,-2.453,183.6,5.91,9.0,0.0,0.0
16497,2247,jet,-0.67,-1.223,127.14,14.82,53.0,0.0,1.05
16498,2247,jet,0.104,-2.541,73.75,8.24,8.0,0.0,0.0
16499,2247,jet,0.216,-0.872,35.55,9.73,40.0,0.0,0.91
16500,2247,jet,-2.18,1.446,32.29,7.48,5.0,0.0,3.86
16501,2247,MET,0.0,2.29,680.61,0.0,0.0,0.0,0.0
16502,2248,jet,-0.084,1.758,2091.12,194.75,41.0,0.0,0.25
16503,2248,jet,1.112,-2.09,2036.98,222.22,61.0,0.0,0.32
16504,2248,jet,-1.86,0.685,589.2,53.42,14.0,1.0,0.17
16505,2248,jet,-0.92,-0.534,464.58,53.81,27.0,0.0,0.46
16506,2248,jet,-0.423,-1.021,464.34,43.95,22.0,0.0,0.48
16507,2248,jet,0.487,-1.334,288.51,39.16,27.0,0.0,0.41
16508,2248,jet,-1.35,0.236,221.55,15.99,14.0,0.0,0.0
16509,2248,jet,0.996,2.56,214.96,34.26,18.0,0.0,0.94
16510,2248,jet,-0.441,0.69,214.0,25.54,12.0,0.0,0.62
16511,2248,jet,-0.401,2.257,152.14,22.27,17.0,0.0,0.31
16512,2248,jet,0.021,-0.49,83.42,16.58,13.0,0.0,0.36
16513,2248,jet,1.437,2.515,36.8,5.44,16.0,0.0,0.0
16514,2248,jet,0.533,2.37,25.19,4.02,10.0,0.0,1.43
16515,2248,MET,0.0,-0.895,207.68,0.0,0.0,0.0,0.0
16516,2249,muon,-0.571,1.354,115.76,0.11,1.0,7.0,126.17
16517,2249,jet,-0.111,-0.726,2712.53,100.84,26.0,0.0,2.51
16518,2249,jet,0.495,-3.099,1074.53,80.3,29.0,0.0,0.11
16519,2249,jet,1.121,0.972,919.31,29.45,11.0,0.0,0.4
16520,2249,jet,0.865,2.695,769.24,52.87,17.0,0.0,2.05
16521,2249,jet,0.511,-2.528,213.84,26.74,28.0,0.0,1.08
16522,2249,jet,-0.545,0.679,114.14,22.91,17.0,0.0,2.81
16523,2249,MET,0.0,2.365,988.19,0.0,0.0,0.0,0.0
16524,2250,jet,0.715,-2.406,2683.35,202.78,43.0,0.0,0.27
16525,2250,jet,-1.03,0.557,2680.14,263.17,35.0,0.0,0.09
16526,2250,jet,-0.682,1.541,393.13,65.28,26.0,1.0,0.7
16527,2250,jet,-1.458,1.585,59.08,8.39,10.0,0.0,1.73
16528,2250,jet,-1.598,1.09,56.3,10.23,13.0,0.0,1.26
